kaliwanu kali(V6)+wa_#_PAST+anu_a_3SM   
kaliyuvavalYigosugayuva kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugayuva_lYu_INTR
kaliyuvavalYigosugavU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugavU_lYu_INCL
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugavo_lYu_DUB
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugavo_lYu_INDF
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugavo_lYu_PRES
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugave_lYu_IMPH
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugave_lYu_DECL
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosugave_lYu_RIS
kaliyuvavalYigiwa kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwa_lYu_3SF
kaliyuvavalYigiwaya kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwaya_lYu_INTR
kaliyuvavalYigiwalU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwalU_lYu_INCL
kaliyuvavalYigiwalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwalo_lYu_DUB
kaliyuvavalYigiwalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwalo_lYu_INDF
kaliyuvavalYigiwalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwalo_lYu_PRES
kaliyuvavalYigiwale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwale_lYu_IMPH
kaliyuvavalYigiwale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwale_lYu_DECL
kaliyuvavalYigiwale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_COMP+lYigiwale_lYu_RIS
kaliyuvavalYaMweV kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweV_lYu_3SF
kaliyuvavalYaMweVyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVyA_lYu_INTR
kaliyuvavalYaMweVyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVyU_lYu_INCL
kaliyuvavalYaMweVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVyo_lYu_DUB
kaliyuvavalYaMweVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVyo_lYu_INDF
kaliyuvavalYaMweVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVyo_lYu_PRES
kaliyuvavalYaMweVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVye_lYu_IMPH
kaliyuvavalYaMweVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVye_lYu_DECL
kaliyuvavalYaMweVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SIM+lYaMweVye_lYu_RIS
kaliyuvavalYoVdaneV kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneV_lYu_3SF
kaliyuvavalYoVdaneVyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVyA_lYu_INTR
kaliyuvavalYoVdaneVyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVyU_lYu_INCL
kaliyuvavalYoVdaneVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVyo_lYu_DUB
kaliyuvavalYoVdaneVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVyo_lYu_INDF
kaliyuvavalYoVdaneVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVyo_lYu_PRES
kaliyuvavalYoVdaneVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVye_lYu_IMPH
kaliyuvavalYoVdaneVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVye_lYu_DECL
kaliyuvavalYoVdaneVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVdaneVye_lYu_RIS
kaliyuvavalYoVMxigeV  kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeV_lYu_3SF
kaliyuvavalYoVMxigeVyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVyA_lYu_INTR
kaliyuvavalYoVMxigeVyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVyU_lYu_INCL
kaliyuvavalYoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVyo_lYu_DUB
kaliyuvavalYoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVyo_lYu_INDF
kaliyuvavalYoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVyo_lYu_PRES
kaliyuvavalYoVMxigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVye_lYu_IMPH
kaliyuvavalYoVMxigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVye_lYu_DECL
kaliyuvavalYoVMxigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_SOC+lYoVMxigeVye_lYu_RIS
kaliyuvavarannu kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+rannu_#_3P
kaliyuvavarannA kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+rannA_#_INTR
kaliyuvavarannU kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+rannU_#_INCL
kaliyuvavaranno kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranno_#_DUB
kaliyuvavaranno kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranno_#_INDF
kaliyuvavaranno kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranno_#_PRES
kaliyuvavaranne kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranne_#_IMPH
kaliyuvavaranne kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranne_#_DECL
kaliyuvavaranne kali(V6)+yuva_#_PRP+yuvava_yuva_ACC+ranne_#_RIS
kaliyuvavariMxa kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxa_#_3P
kaliyuvavariMxaya kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxaya_#_INTR
kaliyuvavariMxalU kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxalU_#_INCL
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxalo_#_DUB
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxalo_#_INDF
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxalo_#_PRES
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxale_#_IMPH
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxale_#_DECL
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_INS+riMxale_#_RIS
kaliyuvavarigeV kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeV_#_3P
kaliyuvavarigeVyA kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVyA_#_INTR
kaliyuvavarigeVyU kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVyU_#_INCL
kaliyuvavarigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVyo_#_DUB
kaliyuvavarigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVyo_#_INDF
kaliyuvavarigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVyo_#_PRES
kaliyuvavarigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVye_#_IMPH
kaliyuvavarigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVye_#_DECL
kaliyuvavarigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_DAT+rigeVye_#_RIS
kaliyuvavariMxa  kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxa_#_3P
kaliyuvavariMxaya kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxaya_#_INTR
kaliyuvavariMxalU kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxalU_#_INCL
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxalo_#_DUB
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxalo_#_INDF
kaliyuvavariMxalo kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxalo_#_PRES
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxale_#_IMPH
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxale_#_DECL
kaliyuvavariMxale kali(V6)+yuva_#_PRP+yuvava_yuva_ABL+riMxale_#_RIS
kaliyuvavara kali(V6)+yuva_#_PRP+yuvava_yuva_GEN+ra_#_3P
kaliyuvavaralli kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralli_#_3P
kaliyuvavaralliyA kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliyA_#_INTR
kaliyuvavaralliyU kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliyU_#_INCL
kaliyuvavaralliyo kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliyo_#_DUB
kaliyuvavaralliyo kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliyo_#_INDF
kaliyuvavaralliyo kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliyo_#_PRES
kaliyuvavaralliye kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliye_#_IMPH
kaliyuvavaralliye kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliye_#_DECL
kaliyuvavaralliye kali(V6)+yuva_#_PRP+yuvava_yuva_LOC+ralliye_#_RIS
kaliyuvavarigoskara kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskara_#_3P
kaliyuvavarigoskarayuva kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskarayuva_#_INTR
kaliyuvavarigoskaravU kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskaravU_#_INCL
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskaravo_#_DUB
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskaravo_#_INDF
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskaravo_#_PRES
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskarave_#_IMPH
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskarave_#_DECL
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigoskarave_#_RIS
kaliyuvavarigoskara kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskara_#_3P
kaliyuvavarigoskarayuva kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskarayuva_#_INTR
kaliyuvavarigoskaravU kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskaravU_#_INCL
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskaravo_#_DUB
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskaravo_#_INDF
kaliyuvavarigoskaravo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskaravo_#_PRES
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskarave_#_IMPH
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskarave_#_DECL
kaliyuvavarigoskarave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigoskarave_#_RIS
kaliyuvavarigAgi kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgi_#_3P
kaliyuvavarigAgiyA kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyA_#_INTR
kaliyuvavarigAgiyU kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyU_#_INCL
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_DUB
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_INDF
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_PRES
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_IMPH
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_DECL
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_RIS
kaliyuvavarigAgi kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigAgi_#_3P
kaliyuvavarigAgiyA kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyA_#_INTR
kaliyuvavarigAgiyU kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyU_#_INCL
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_DUB
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_INDF
kaliyuvavarigAgiyo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiyo_#_PRES
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_IMPH
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_DECL
kaliyuvavarigAgiye kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigAgiye_#_RIS
kaliyuvavarigosuga kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosuga_#_3P
kaliyuvavarigosugayuva kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugayuva_#_INTR
kaliyuvavarigosugavU kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugavU_#_INCL
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugavo_#_DUB
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugavo_#_INDF
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugavo_#_PRES
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugave_#_IMPH
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugave_#_DECL
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_BEN+rigosugave_#_RIS
kaliyuvavarigosuga kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosuga_#_3P
kaliyuvavarigosugayuva kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugayuva_#_INTR
kaliyuvavarigosugavU kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugavU_#_INCL
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugavo_#_DUB
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugavo_#_INDF
kaliyuvavarigosugavo kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugavo_#_PRES
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugave_#_IMPH
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugave_#_DECL
kaliyuvavarigosugave kali(V6)+yuva_#_PRP+yuvava_yuva_PUR+rigosugave_#_RIS
kaliyuvavarigiwa kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwa_#_3P
kaliyuvavarigiwaya kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwaya_#_INTR
kaliyuvavarigiwalU kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwalU_#_INCL
kaliyuvavarigiwalo kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwalo_#_DUB
kaliyuvavarigiwalo kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwalo_#_INDF
kaliyuvavarigiwalo kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwalo_#_PRES
kaliyuvavarigiwale kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwale_#_IMPH
kaliyuvavarigiwale kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwale_#_DECL
kaliyuvavarigiwale kali(V6)+yuva_#_PRP+yuvava_yuva_COMP+rigiwale_#_RIS
kaliyuvavaraMweV kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweV_#_3P
kaliyuvavaraMweVyA kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVyA_#_INTR
kaliyuvavaraMweVyU kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVyU_#_INCL
kaliyuvavaraMweVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVyo_#_DUB
kaliyuvavaraMweVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVyo_#_INDF
kaliyuvavaraMweVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVyo_#_PRES
kaliyuvavaraMweVye kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVye_#_IMPH
kaliyuvavaraMweVye kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVye_#_DECL
kaliyuvavaraMweVye kali(V6)+yuva_#_PRP+yuvava_yuva_SIM+raMweVye_#_RIS
kaliyuvavaroVdaneV kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneV_#_3P
kaliyuvavaroVdaneVyA kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVyA_#_INTR
kaliyuvavaroVdaneVyU kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVyU_#_INCL
kaliyuvavaroVdaneVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVyo_#_DUB
kaliyuvavaroVdaneVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVyo_#_INDF
kaliyuvavaroVdaneVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVyo_#_PRES
kaliyuvavaroVdaneVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVye_#_IMPH
kaliyuvavaroVdaneVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVye_#_DECL
kaliyuvavaroVdaneVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVdaneVye_#_RIS
kaliyuvavaroVMxigeV  kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeV_#_3P
kaliyuvavaroVMxigeVyA kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVyA_#_INTR
kaliyuvavaroVMxigeVyU kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVyU_#_INCL
kaliyuvavaroVMxigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVyo_#_DUB
kaliyuvavaroVMxigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVyo_#_INDF
kaliyuvavaroVMxigeVyo kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVyo_#_PRES
kaliyuvavaroVMxigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVye_#_IMPH
kaliyuvavaroVMxigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVye_#_DECL
kaliyuvavaroVMxigeVye kali(V6)+yuva_#_PRP+yuvava_yuva_SOC+roVMxigeVye_#_RIS
kaliyuvuxannA kali(V6)+yuvuxu_#_ACC+xannA_xu_INTR
kaliyuvuxannU kali(V6)+yuvuxu_#_ACC+xannU_xu_INCL
kaliyuvuxanno kali(V6)+yuvuxu_#_ACC+xanno_xu_DUB
kaliyuvuxanno kali(V6)+yuvuxu_#_ACC+xanno_xu_INDF
kaliyuvuxanno kali(V6)+yuvuxu_#_ACC+xanno_xu_PRES
kaliyuvuxanne kali(V6)+yuvuxu_#_ACC+xanne_xu_IMPH
kaliyuvuxanne kali(V6)+yuvuxu_#_ACC+xanne_xu_DECL
kaliyuvuxanne kali(V6)+yuvuxu_#_ACC+xanne_xu_RIS
kaliyuvuxariMxaya kali(V6)+yuvuxu_#_INS+xariMxaya_xu_INTR
kaliyuvuxariMxalU kali(V6)+yuvuxu_#_INS+xariMxalU_xu_INCL
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_INS+xariMxalo_xu_DUB
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_INS+xariMxalo_xu_INDF
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_INS+xariMxalo_xu_PRES
kaliyuvuxariMxale kali(V6)+yuvuxu_#_INS+xariMxale_xu_IMPH
kaliyuvuxariMxale kali(V6)+yuvuxu_#_INS+xariMxale_xu_DECL
kaliyuvuxariMxale kali(V6)+yuvuxu_#_INS+xariMxale_xu_RIS
kaliyuvuxakkeVyA kali(V6)+yuvuxu_#_DAT+xakkeVyA_xu_INTR
kaliyuvuxakkeVyU kali(V6)+yuvuxu_#_DAT+xakkeVyU_xu_INCL
kaliyuvuxakkeVyo kali(V6)+yuvuxu_#_DAT+xakkeVyo_xu_DUB
kaliyuvuxakkeVyo kali(V6)+yuvuxu_#_DAT+xakkeVyo_xu_INDF
kaliyuvuxakkeVyo kali(V6)+yuvuxu_#_DAT+xakkeVyo_xu_PRES
kaliyuvuxakkeVye kali(V6)+yuvuxu_#_DAT+xakkeVye_xu_IMPH
kaliyuvuxakkeVye kali(V6)+yuvuxu_#_DAT+xakkeVye_xu_DECL
kaliyuvuxakkeVye kali(V6)+yuvuxu_#_DAT+xakkeVye_xu_RIS
kaliyuvuxariMxaya kali(V6)+yuvuxu_#_ABL+xariMxaya_xu_INTR
kaliyuvuxariMxalU kali(V6)+yuvuxu_#_ABL+xariMxalU_xu_INCL
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_ABL+xariMxalo_xu_DUB
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_ABL+xariMxalo_xu_INDF
kaliyuvuxariMxalo kali(V6)+yuvuxu_#_ABL+xariMxalo_xu_PRES
kaliyuvuxariMxale kali(V6)+yuvuxu_#_ABL+xariMxale_xu_IMPH
kaliyuvuxariMxale kali(V6)+yuvuxu_#_ABL+xariMxale_xu_DECL
kaliyuvuxariMxale kali(V6)+yuvuxu_#_ABL+xariMxale_xu_RIS
kaliyuvuxaralliyA kali(V6)+yuvuxu_#_LOC+xaralliyA_xu_INTR
kaliyuvuxaralliyU kali(V6)+yuvuxu_#_LOC+xaralliyU_xu_INCL
kaliyuvuxaralliyo kali(V6)+yuvuxu_#_LOC+xaralliyo_xu_DUB
kaliyuvuxaralliyo kali(V6)+yuvuxu_#_LOC+xaralliyo_xu_INDF
kaliyuvuxaralliyo kali(V6)+yuvuxu_#_LOC+xaralliyo_xu_PRES
kaliyuvuxaralliye kali(V6)+yuvuxu_#_LOC+xaralliye_xu_IMPH
kaliyuvuxaralliye kali(V6)+yuvuxu_#_LOC+xaralliye_xu_DECL
kaliyuvuxaralliye kali(V6)+yuvuxu_#_LOC+xaralliye_xu_RIS
kaliyuvuxakkoskaravA kali(V6)+yuvuxu_#_BEN+xakkoskaravA_xu_INTR
kaliyuvuxakkoskaravU kali(V6)+yuvuxu_#_BEN+xakkoskaravU_xu_INCL
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_BEN+xakkoskaravo_xu_DUB
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_BEN+xakkoskaravo_xu_INDF
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_BEN+xakkoskaravo_xu_PRES
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_BEN+xakkoskarave_xu_IMPH
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_BEN+xakkoskarave_xu_DECL
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_BEN+xakkoskarave_xu_RIS
kaliyuvuxakkoskaravA kali(V6)+yuvuxu_#_PUR+xakkoskaravA_xu_INTR
kaliyuvuxakkoskaravU kali(V6)+yuvuxu_#_PUR+xakkoskaravU_xu_INCL
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_PUR+xakkoskaravo_xu_DUB
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_PUR+xakkoskaravo_xu_INDF
kaliyuvuxakkoskaravo kali(V6)+yuvuxu_#_PUR+xakkoskaravo_xu_PRES
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_PUR+xakkoskarave_xu_IMPH
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_PUR+xakkoskarave_xu_DECL
kaliyuvuxakkoskarave kali(V6)+yuvuxu_#_PUR+xakkoskarave_xu_RIS
kaliyuvuxakkAgiyA kali(V6)+yuvuxu_#_BEN+xakkAgiyA_xu_INTR
kaliyuvuxakkAgiyU kali(V6)+yuvuxu_#_BEN+xakkAgiyU_xu_INCL
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_BEN+xakkAgiyo_xu_DUB
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_BEN+xakkAgiyo_xu_INDF
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_BEN+xakkAgiyo_xu_PRES
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_BEN+xakkAgiye_xu_IMPH
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_BEN+xakkAgiye_xu_DECL
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_BEN+xakkAgiye_xu_RIS
kaliyuvuxakkAgiyA kali(V6)+yuvuxu_#_PUR+xakkAgiyA_xu_INTR
kaliyuvuxakkAgiyU kali(V6)+yuvuxu_#_PUR+xakkAgiyU_xu_INCL
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_PUR+xakkAgiyo_xu_DUB
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_PUR+xakkAgiyo_xu_INDF
kaliyuvuxakkAgiyo kali(V6)+yuvuxu_#_PUR+xakkAgiyo_xu_PRES
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_PUR+xakkAgiye_xu_IMPH
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_PUR+xakkAgiye_xu_DECL
kaliyuvuxakkAgiye kali(V6)+yuvuxu_#_PUR+xakkAgiye_xu_RIS
kaliyuvuxakkosugavA kali(V6)+yuvuxu_#_BEN+xakkosugavA_xu_INTR
