suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
suduvavaranno sudu(V22)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
suduvavaranno sudu(V22)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
suduvavaranno sudu(V22)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
suduvavaranne sudu(V22)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
suduvavaranne sudu(V22)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
suduvavaranne sudu(V22)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
suduvavariMxa sudu(V22)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
suduvavariMxalA sudu(V22)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
suduvavariMxalU sudu(V22)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
suduvavarigeV sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
suduvavarigeVyA sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
suduvavarigeVyU sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
suduvavarigeVyo sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
suduvavarigeVyo sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
suduvavarigeVyo sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
suduvavarigeVye sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
suduvavarigeVye sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
suduvavarigeVye sudu(V22)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
suduvavariMxa  sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
suduvavariMxalA sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
suduvavariMxalU sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
suduvavariMxalo sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
suduvavariMxale sudu(V22)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
suduvavara sudu(V22)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
suduvavaralli sudu(V22)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
suduvavaralliyA sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
suduvavaralliyU sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
suduvavaralliyo sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
suduvavaralliyo sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
suduvavaralliyo sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
suduvavaralliye sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
suduvavaralliye sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
suduvavaralliye sudu(V22)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
suduvavarigoskara sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
suduvavarigoskaravA sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
suduvavarigoskaravU sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
suduvavarigoskara sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
suduvavarigoskaravA sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
suduvavarigoskaravU sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
suduvavarigoskaravo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
suduvavarigoskarave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
suduvavarigAgi sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
suduvavarigAgiyA sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
suduvavarigAgiyU sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
suduvavarigAgi sudu(V22)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
suduvavarigAgiyA sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
suduvavarigAgiyU sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
suduvavarigAgiyo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
suduvavarigAgiye sudu(V22)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
suduvavarigosuga sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
suduvavarigosugavA sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
suduvavarigosugavU sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
suduvavarigosuga sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
suduvavarigosugavA sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
suduvavarigosugavU sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
suduvavarigosugavo sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
suduvavarigosugave sudu(V22)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
suduvavarigiMwa sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
suduvavarigiMwalA sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
suduvavarigiMwalU sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
suduvavarigiMwalo sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
suduvavarigiMwalo sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
suduvavarigiMwalo sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
suduvavarigiMwale sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
suduvavarigiMwale sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
suduvavarigiMwale sudu(V22)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
suduvavaraMweV sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
suduvavaraMweVyA sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
suduvavaraMweVyU sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
suduvavaraMweVyo sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
suduvavaraMweVyo sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
suduvavaraMweVyo sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
suduvavaraMweVye sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
suduvavaraMweVye sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
suduvavaraMweVye sudu(V22)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
suduvavaroVdaneV sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
suduvavaroVdaneVyA sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
suduvavaroVdaneVyU sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
suduvavaroVdaneVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
suduvavaroVdaneVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
suduvavaroVdaneVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
suduvavaroVdaneVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
suduvavaroVdaneVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
suduvavaroVdaneVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
suduvavaroVMxigeV  sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
suduvavaroVMxigeVyA sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
suduvavaroVMxigeVyU sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
suduvavaroVMxigeVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
suduvavaroVMxigeVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
suduvavaroVMxigeVyo sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
suduvavaroVMxigeVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
suduvavaroVMxigeVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
suduvavaroVMxigeVye sudu(V22)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
suduvuxannA sudu(V22)+vuxu_#_ACC+xannA_xu_INTR
suduvuxannU sudu(V22)+vuxu_#_ACC+xannU_xu_INCL
suduvuxanno sudu(V22)+vuxu_#_ACC+xanno_xu_DUB
suduvuxanno sudu(V22)+vuxu_#_ACC+xanno_xu_INDF
suduvuxanno sudu(V22)+vuxu_#_ACC+xanno_xu_PRES
suduvuxanne sudu(V22)+vuxu_#_ACC+xanne_xu_IMPH
suduvuxanne sudu(V22)+vuxu_#_ACC+xanne_xu_DECL
suduvuxanne sudu(V22)+vuxu_#_ACC+xanne_xu_RIS
suduvuxariMxalA sudu(V22)+vuxu_#_INS+xariMxalA_xu_INTR
suduvuxariMxalU sudu(V22)+vuxu_#_INS+xariMxalU_xu_INCL
suduvuxariMxalo sudu(V22)+vuxu_#_INS+xariMxalo_xu_DUB
suduvuxariMxalo sudu(V22)+vuxu_#_INS+xariMxalo_xu_INDF
suduvuxariMxalo sudu(V22)+vuxu_#_INS+xariMxalo_xu_PRES
suduvuxariMxale sudu(V22)+vuxu_#_INS+xariMxale_xu_IMPH
suduvuxariMxale sudu(V22)+vuxu_#_INS+xariMxale_xu_DECL
suduvuxariMxale sudu(V22)+vuxu_#_INS+xariMxale_xu_RIS
suduvuxakkeVyA sudu(V22)+vuxu_#_DAT+xakkeVyA_xu_INTR
suduvuxakkeVyU sudu(V22)+vuxu_#_DAT+xakkeVyU_xu_INCL
suduvuxakkeVyo sudu(V22)+vuxu_#_DAT+xakkeVyo_xu_DUB
suduvuxakkeVyo sudu(V22)+vuxu_#_DAT+xakkeVyo_xu_INDF
suduvuxakkeVyo sudu(V22)+vuxu_#_DAT+xakkeVyo_xu_PRES
suduvuxakkeVye sudu(V22)+vuxu_#_DAT+xakkeVye_xu_IMPH
suduvuxakkeVye sudu(V22)+vuxu_#_DAT+xakkeVye_xu_DECL
suduvuxakkeVye sudu(V22)+vuxu_#_DAT+xakkeVye_xu_RIS
suduvuxariMxalA sudu(V22)+vuxu_#_ABL+xariMxalA_xu_INTR
suduvuxariMxalU sudu(V22)+vuxu_#_ABL+xariMxalU_xu_INCL
suduvuxariMxalo sudu(V22)+vuxu_#_ABL+xariMxalo_xu_DUB
suduvuxariMxalo sudu(V22)+vuxu_#_ABL+xariMxalo_xu_INDF
suduvuxariMxalo sudu(V22)+vuxu_#_ABL+xariMxalo_xu_PRES
suduvuxariMxale sudu(V22)+vuxu_#_ABL+xariMxale_xu_IMPH
suduvuxariMxale sudu(V22)+vuxu_#_ABL+xariMxale_xu_DECL
suduvuxariMxale sudu(V22)+vuxu_#_ABL+xariMxale_xu_RIS
suduvuxaralliyA sudu(V22)+vuxu_#_LOC+xaralliyA_xu_INTR
suduvuxaralliyU sudu(V22)+vuxu_#_LOC+xaralliyU_xu_INCL
suduvuxaralliyo sudu(V22)+vuxu_#_LOC+xaralliyo_xu_DUB
suduvuxaralliyo sudu(V22)+vuxu_#_LOC+xaralliyo_xu_INDF
suduvuxaralliyo sudu(V22)+vuxu_#_LOC+xaralliyo_xu_PRES
suduvuxaralliye sudu(V22)+vuxu_#_LOC+xaralliye_xu_IMPH
suduvuxaralliye sudu(V22)+vuxu_#_LOC+xaralliye_xu_DECL
suduvuxaralliye sudu(V22)+vuxu_#_LOC+xaralliye_xu_RIS
suduvuxakkoskaravA sudu(V22)+vuxu_#_BEN+xakkoskaravA_xu_INTR
suduvuxakkoskaravU sudu(V22)+vuxu_#_BEN+xakkoskaravU_xu_INCL
suduvuxakkoskaravo sudu(V22)+vuxu_#_BEN+xakkoskaravo_xu_DUB
suduvuxakkoskaravo sudu(V22)+vuxu_#_BEN+xakkoskaravo_xu_INDF
suduvuxakkoskaravo sudu(V22)+vuxu_#_BEN+xakkoskaravo_xu_PRES
suduvuxakkoskarave sudu(V22)+vuxu_#_BEN+xakkoskarave_xu_IMPH
suduvuxakkoskarave sudu(V22)+vuxu_#_BEN+xakkoskarave_xu_DECL
suduvuxakkoskarave sudu(V22)+vuxu_#_BEN+xakkoskarave_xu_RIS
suduvuxakkoskaravA sudu(V22)+vuxu_#_PUR+xakkoskaravA_xu_INTR
suduvuxakkoskaravU sudu(V22)+vuxu_#_PUR+xakkoskaravU_xu_INCL
suduvuxakkoskaravo sudu(V22)+vuxu_#_PUR+xakkoskaravo_xu_DUB
suduvuxakkoskaravo sudu(V22)+vuxu_#_PUR+xakkoskaravo_xu_INDF
suduvuxakkoskaravo sudu(V22)+vuxu_#_PUR+xakkoskaravo_xu_PRES
suduvuxakkoskarave sudu(V22)+vuxu_#_PUR+xakkoskarave_xu_IMPH
suduvuxakkoskarave sudu(V22)+vuxu_#_PUR+xakkoskarave_xu_DECL
suduvuxakkoskarave sudu(V22)+vuxu_#_PUR+xakkoskarave_xu_RIS
suduvuxattagiyA sudu(V22)+vuxu_#_BEN+xattagiyA_xu_INTR
suduvuxattagiyU sudu(V22)+vuxu_#_BEN+xattagiyU_xu_INCL
suduvuxattagiyo sudu(V22)+vuxu_#_BEN+xattagiyo_xu_DUB
suduvuxattagiyo sudu(V22)+vuxu_#_BEN+xattagiyo_xu_INDF
suduvuxattagiyo sudu(V22)+vuxu_#_BEN+xattagiyo_xu_PRES
suduvuxattagiye sudu(V22)+vuxu_#_BEN+xattagiye_xu_IMPH
suduvuxattagiye sudu(V22)+vuxu_#_BEN+xattagiye_xu_DECL
suduvuxattagiye sudu(V22)+vuxu_#_BEN+xattagiye_xu_RIS
suduvuxattagiyA sudu(V22)+vuxu_#_PUR+xattagiyA_xu_INTR
suduvuxattagiyU sudu(V22)+vuxu_#_PUR+xattagiyU_xu_INCL
suduvuxattagiyo sudu(V22)+vuxu_#_PUR+xattagiyo_xu_DUB
suduvuxattagiyo sudu(V22)+vuxu_#_PUR+xattagiyo_xu_INDF
suduvuxattagiyo sudu(V22)+vuxu_#_PUR+xattagiyo_xu_PRES
suduvuxattagiye sudu(V22)+vuxu_#_PUR+xattagiye_xu_IMPH
suduvuxattagiye sudu(V22)+vuxu_#_PUR+xattagiye_xu_DECL
suduvuxattagiye sudu(V22)+vuxu_#_PUR+xattagiye_xu_RIS
suduvuxakkosugavA sudu(V22)+vuxu_#_BEN+xakkosugavA_xu_INTR
suduvuxakkosugavU sudu(V22)+vuxu_#_BEN+xakkosugavU_xu_INCL
suduvuxakkosugavo sudu(V22)+vuxu_#_BEN+xakkosugavo_xu_DUB
suduvuxakkosugavo sudu(V22)+vuxu_#_BEN+xakkosugavo_xu_INDF
suduvuxakkosugavo sudu(V22)+vuxu_#_BEN+xakkosugavo_xu_PRES
suduvuxakkosugave sudu(V22)+vuxu_#_BEN+xakkosugave_xu_IMPH
suduvuxakkosugave sudu(V22)+vuxu_#_BEN+xakkosugave_xu_DECL
suduvuxakkosugave sudu(V22)+vuxu_#_BEN+xakkosugave_xu_RIS
suduvuxakkosugavA sudu(V22)+vuxu_#_PUR+xakkosugavA_xu_INTR
suduvuxakkosugavU sudu(V22)+vuxu_#_PUR+xakkosugavU_xu_INCL
suduvuxakkosugavo sudu(V22)+vuxu_#_PUR+xakkosugavo_xu_DUB
suduvuxakkosugavo sudu(V22)+vuxu_#_PUR+xakkosugavo_xu_PRES
suduvuxakkosugave sudu(V22)+vuxu_#_PUR+xakkosugave_xu_IMPH
suduvuxakkosugave sudu(V22)+vuxu_#_PUR+xakkosugave_xu_DECL
suduvuxakkosugave sudu(V22)+vuxu_#_PUR+xakkosugave_xu_RIS
suduvuxakkiMwalA sudu(V22)+vuxu_#_COMP+xakkiMwalA_xu_INTR
suduvuxakkiMwalU sudu(V22)+vuxu_#_COMP+xakkiMwalU_xu_INCL
suduvuxakkiMwalo sudu(V22)+vuxu_#_COMP+xakkiMwalo_xu_DUB
suduvuxakkiMwalo sudu(V22)+vuxu_#_COMP+xakkiMwalo_xu_INDF
suduvuxakkiMwalo sudu(V22)+vuxu_#_COMP+xakkiMwalo_xu_PRES
suduvuxakkiMwale sudu(V22)+vuxu_#_COMP+xakkiMwale_xu_IMPH
suduvuxakkiMwale sudu(V22)+vuxu_#_COMP+xakkiMwale_xu_DECL
suduvuxakkiMwale sudu(V22)+vuxu_#_COMP+xakkiMwale_xu_RIS
suduvaMweVyA sudu(V22)+va_#_SIM+vaMweVyA_va_INTR
suduvaMweVyU sudu(V22)+va_#_SIM+vaMweVyU_va_INCL
suduvaMweVyo sudu(V22)+va_#_SIM+vaMweVyo_va_DUB
suduvaMweVyo sudu(V22)+va_#_SIM+vaMweVyo_va_INDF
suduvaMweVyo sudu(V22)+va_#_SIM+vaMweVyo_va_PRES
suduvaMweVye sudu(V22)+va_#_SIM+vaMweVye_va_IMPH
suduvaMweVye sudu(V22)+va_#_SIM+vaMweVye_va_DECL
suduvaMweVye sudu(V22)+va_#_SIM+vaMweVye_va_RIS
suduvuxaroVMxigeVyA sudu(V22)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
suduvuxaroVMxigeVyU sudu(V22)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
suduvuxaroVMxigeVyo sudu(V22)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
suduvuxaroVMxigeVyo sudu(V22)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
suduvuxaroVMxigeVyo sudu(V22)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
suduvuxaroVMxigeVye sudu(V22)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
suduvuxaroVMxigeVye sudu(V22)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
suduvuxaroVMxigeVye sudu(V22)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
suduvuxaroVdaneVyA sudu(V22)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
suduvuxaroVdaneVyU sudu(V22)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
suduvuxaroVdaneVyo sudu(V22)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
suduvuxaroVdaneVyo sudu(V22)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
suduvuxaroVdaneVyo sudu(V22)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
suduvuxaroVdaneVye sudu(V22)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
suduvuxaroVdaneVye sudu(V22)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
suduvuxaroVdaneVye sudu(V22)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


suttavanannu sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nannu_nu_3SM
suttavanannA sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nannA_nu_INTR
suttavanannU sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nannU_nu_INCL
suttavananno sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanno_nu_DUB
suttavananno sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanno_nu_INDF
suttavananno sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanno_nu_PRES
suttavananne sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanne_nu_IMPH
suttavananne sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanne_nu_DECL
suttavananne sudu(V4)+tta_du_PRP+ttavanu_tta_ACC+nanne_nu_RIS
suttavaniMxa sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxa_nu_3SM
suttavaniMxalA sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxalA_nu_INTR
suttavaniMxalU sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxalU_nu_INCL
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxalo_nu_DUB
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxalo_nu_INDF
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxalo_nu_PRES
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxale_nu_IMPH
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxale_nu_DECL
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_INS+niMxale_nu_RIS
suttavanalligeV sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeV_nu_3SM
suttavanalligeVyA sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVyA_nu_INTR
suttavanalligeVyU sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVyU_nu_INCL
suttavanalligeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVyo_nu_DUB
suttavanalligeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVyo_nu_INDF
suttavanalligeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVyo_nu_PRES
suttavanalligeVye sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVye_nu_IMPH
suttavanalligeVye sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVye_nu_DECL
suttavanalligeVye sudu(V4)+tta_du_PRP+ttavanu_tta_DAT+nalligeVye_nu_RIS
suttavaniMxa  sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxa_nu_3SM
suttavaniMxalA sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxalA_nu_INTR
suttavaniMxalU sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxalU_nu_INCL
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxalo_nu_DUB
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxalo_nu_INDF
suttavaniMxalo sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxalo_nu_PRES
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxale_nu_IMPH
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxale_nu_DECL
suttavaniMxale sudu(V4)+tta_du_PRP+ttavanu_tta_ABL+niMxale_nu_RIS
suttavana sudu(V4)+tta_du_PRP+ttavanu_tta_GEN+na_nu_3SM
suttavanalli sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalli_nu_3SM
suttavanalliyA sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliyA_nu_INTR
