sawwanu sAyu(V2)+awwa_Ayu_PAST+anu_a_3SM   
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
sAyuvavalYigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
sAyuvavalYigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
sAyuvavalYigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
sAyuvavalYigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
sAyuvavalYigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
sAyuvavalYigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
sAyuvavalYigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
sAyuvavalYigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
sAyuvavalYigiMwa sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
sAyuvavalYigiMwalA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
sAyuvavalYigiMwalU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
sAyuvavalYigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
sAyuvavalYigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
sAyuvavalYigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
sAyuvavalYigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
sAyuvavalYigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
sAyuvavalYigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
sAyuvavalYaMweV sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
sAyuvavalYaMweVyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
sAyuvavalYaMweVyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
sAyuvavalYaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
sAyuvavalYaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
sAyuvavalYaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
sAyuvavalYaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
sAyuvavalYaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
sAyuvavalYaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
sAyuvavalYoVdaneV sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
sAyuvavalYoVdaneVyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
sAyuvavalYoVdaneVyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
sAyuvavalYoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
sAyuvavalYoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
sAyuvavalYoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
sAyuvavalYoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
sAyuvavalYoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
sAyuvavalYoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
sAyuvavalYoVMxigeV  sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
sAyuvavalYoVMxigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
sAyuvavalYoVMxigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
sAyuvavalYoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
sAyuvavalYoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
sAyuvavalYoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
sAyuvavalYoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
sAyuvavalYoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
sAyuvavalYoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
sAyuvavarannu sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+rannu_ru_3P
sAyuvavarannA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+rannA_ru_INTR
sAyuvavarannU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+rannU_ru_INCL
sAyuvavaranno sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranno_ru_DUB
sAyuvavaranno sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranno_ru_INDF
sAyuvavaranno sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranno_ru_PRES
sAyuvavaranne sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranne_ru_IMPH
sAyuvavaranne sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranne_ru_DECL
sAyuvavaranne sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ACC+ranne_ru_RIS
sAyuvavariMxa sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxa_ru_3P
sAyuvavariMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxalA_ru_INTR
sAyuvavariMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxalU_ru_INCL
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxalo_ru_DUB
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxalo_ru_INDF
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxalo_ru_PRES
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxale_ru_IMPH
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxale_ru_DECL
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_INS+riMxale_ru_RIS
sAyuvavarigeV sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeV_ru_3P
sAyuvavarigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
sAyuvavarigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
sAyuvavarigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
sAyuvavarigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
sAyuvavarigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
sAyuvavarigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
sAyuvavarigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
sAyuvavarigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
sAyuvavariMxa  sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxa_ru_3P
sAyuvavariMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxalA_ru_INTR
sAyuvavariMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxalU_ru_INCL
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxalo_ru_DUB
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxalo_ru_INDF
sAyuvavariMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxalo_ru_PRES
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxale_ru_IMPH
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxale_ru_DECL
sAyuvavariMxale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_ABL+riMxale_ru_RIS
sAyuvavara sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_GEN+ra_ru_3P
sAyuvavaralli sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralli_ru_3P
sAyuvavaralliyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
sAyuvavaralliyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
sAyuvavaralliyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
sAyuvavaralliyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
sAyuvavaralliyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
sAyuvavaralliye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
sAyuvavaralliye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliye_ru_DECL
sAyuvavaralliye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_LOC+ralliye_ru_RIS
sAyuvavarigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskara_ru_3P
sAyuvavarigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
sAyuvavarigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
sAyuvavarigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskara_ru_3P
sAyuvavarigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
sAyuvavarigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
sAyuvavarigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
sAyuvavarigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
sAyuvavarigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgi_ru_3P
sAyuvavarigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
sAyuvavarigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
sAyuvavarigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigAgi_ru_3P
sAyuvavarigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
sAyuvavarigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
sAyuvavarigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
sAyuvavarigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
sAyuvavarigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosuga_ru_3P
sAyuvavarigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
sAyuvavarigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
sAyuvavarigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosuga_ru_3P
sAyuvavarigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
sAyuvavarigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
sAyuvavarigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
sAyuvavarigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
sAyuvavarigiMwa sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
sAyuvavarigiMwalA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
sAyuvavarigiMwalU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
sAyuvavarigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
sAyuvavarigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
sAyuvavarigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
sAyuvavarigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
sAyuvavarigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
sAyuvavarigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
sAyuvavaraMweV sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweV_ru_3P
sAyuvavaraMweVyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
sAyuvavaraMweVyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
sAyuvavaraMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
sAyuvavaraMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
sAyuvavaraMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
sAyuvavaraMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
sAyuvavaraMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
sAyuvavaraMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
sAyuvavaroVdaneV sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
sAyuvavaroVdaneVyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
sAyuvavaroVdaneVyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
sAyuvavaroVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
sAyuvavaroVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
sAyuvavaroVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
sAyuvavaroVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
sAyuvavaroVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
sAyuvavaroVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
sAyuvavaroVMxigeV  sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
sAyuvavaroVMxigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
sAyuvavaroVMxigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
sAyuvavaroVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
sAyuvavaroVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
sAyuvavaroVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
sAyuvavaroVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
sAyuvavaroVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
sAyuvavaroVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
sAyuvuxannA sAyu(V2)+Ayuvuxu_Ayu_ACC+xannA_xu_INTR
sAyuvuxannU sAyu(V2)+Ayuvuxu_Ayu_ACC+xannU_xu_INCL
sAyuvuxanno sAyu(V2)+Ayuvuxu_Ayu_ACC+xanno_xu_DUB
sAyuvuxanno sAyu(V2)+Ayuvuxu_Ayu_ACC+xanno_xu_INDF
sAyuvuxanno sAyu(V2)+Ayuvuxu_Ayu_ACC+xanno_xu_PRES
sAyuvuxanne sAyu(V2)+Ayuvuxu_Ayu_ACC+xanne_xu_IMPH
sAyuvuxanne sAyu(V2)+Ayuvuxu_Ayu_ACC+xanne_xu_DECL
sAyuvuxanne sAyu(V2)+Ayuvuxu_Ayu_ACC+xanne_xu_RIS
sAyuvuxariMxalA sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxalA_xu_INTR
sAyuvuxariMxalU sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxalU_xu_INCL
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxalo_xu_DUB
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxalo_xu_INDF
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxalo_xu_PRES
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxale_xu_IMPH
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxale_xu_DECL
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_INS+xariMxale_xu_RIS
sAyuvuxakkeVyA sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVyA_xu_INTR
sAyuvuxakkeVyU sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVyU_xu_INCL
sAyuvuxakkeVyo sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVyo_xu_DUB
sAyuvuxakkeVyo sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVyo_xu_INDF
sAyuvuxakkeVyo sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVyo_xu_PRES
sAyuvuxakkeVye sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVye_xu_IMPH
sAyuvuxakkeVye sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVye_xu_DECL
sAyuvuxakkeVye sAyu(V2)+Ayuvuxu_Ayu_DAT+xakkeVye_xu_RIS
sAyuvuxariMxalA sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxalA_xu_INTR
sAyuvuxariMxalU sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxalU_xu_INCL
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxalo_xu_DUB
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxalo_xu_INDF
sAyuvuxariMxalo sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxalo_xu_PRES
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxale_xu_IMPH
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxale_xu_DECL
sAyuvuxariMxale sAyu(V2)+Ayuvuxu_Ayu_ABL+xariMxale_xu_RIS
sAyuvuxaralliyA sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliyA_xu_INTR
sAyuvuxaralliyU sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliyU_xu_INCL
