apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
apaharisuvavalYigosuga apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
apaharisuvavalYigosugavA apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
apaharisuvavalYigosugavU apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
apaharisuvavalYigosugave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
apaharisuvavalYigiMwa apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
apaharisuvavalYigiMwalA apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
apaharisuvavalYigiMwalU apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
apaharisuvavalYigiMwalo apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
apaharisuvavalYigiMwalo apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
apaharisuvavalYigiMwalo apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
apaharisuvavalYigiMwale apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
apaharisuvavalYigiMwale apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
apaharisuvavalYigiMwale apaharisu(V27)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
apaharisuvavalYaMweV apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
apaharisuvavalYaMweVyA apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
apaharisuvavalYaMweVyU apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
apaharisuvavalYaMweVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
apaharisuvavalYaMweVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
apaharisuvavalYaMweVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
apaharisuvavalYaMweVye apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
apaharisuvavalYaMweVye apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
apaharisuvavalYaMweVye apaharisu(V27)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
apaharisuvavalYoVdaneV apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
apaharisuvavalYoVdaneVyA apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
apaharisuvavalYoVdaneVyU apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
apaharisuvavalYoVdaneVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
apaharisuvavalYoVdaneVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
apaharisuvavalYoVdaneVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
apaharisuvavalYoVdaneVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
apaharisuvavalYoVdaneVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
apaharisuvavalYoVdaneVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
apaharisuvavalYoVMxigeV  apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
apaharisuvavalYoVMxigeVyA apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
apaharisuvavalYoVMxigeVyU apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
apaharisuvavalYoVMxigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
apaharisuvavalYoVMxigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
apaharisuvavalYoVMxigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
apaharisuvavalYoVMxigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
apaharisuvavalYoVMxigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
apaharisuvavalYoVMxigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
apaharisuvavarannu apaharisu(V27)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
apaharisuvavarannA apaharisu(V27)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
apaharisuvavarannU apaharisu(V27)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
apaharisuvavaranno apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
apaharisuvavaranno apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
apaharisuvavaranno apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
apaharisuvavaranne apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
apaharisuvavaranne apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
apaharisuvavaranne apaharisu(V27)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
apaharisuvavariMxa apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
apaharisuvavariMxalA apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
apaharisuvavariMxalU apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
apaharisuvavarigeV apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
apaharisuvavarigeVyA apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
apaharisuvavarigeVyU apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
apaharisuvavarigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
apaharisuvavarigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
apaharisuvavarigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
apaharisuvavarigeVye apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
apaharisuvavarigeVye apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
apaharisuvavarigeVye apaharisu(V27)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
apaharisuvavariMxa  apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
apaharisuvavariMxalA apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
apaharisuvavariMxalU apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
apaharisuvavariMxalo apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
apaharisuvavariMxale apaharisu(V27)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
apaharisuvavara apaharisu(V27)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
apaharisuvavaralli apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
apaharisuvavaralliyA apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
apaharisuvavaralliyU apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
apaharisuvavaralliyo apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
apaharisuvavaralliyo apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
apaharisuvavaralliyo apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
apaharisuvavaralliye apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
apaharisuvavaralliye apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
apaharisuvavaralliye apaharisu(V27)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
apaharisuvavarigoskara apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
apaharisuvavarigoskaravA apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
apaharisuvavarigoskaravU apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
apaharisuvavarigoskara apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
apaharisuvavarigoskaravA apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
apaharisuvavarigoskaravU apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
apaharisuvavarigoskaravo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
apaharisuvavarigoskarave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
apaharisuvavarigAgi apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
apaharisuvavarigAgiyA apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
apaharisuvavarigAgiyU apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
apaharisuvavarigAgi apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
apaharisuvavarigAgiyA apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
apaharisuvavarigAgiyU apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
apaharisuvavarigAgiyo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
apaharisuvavarigAgiye apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
apaharisuvavarigosuga apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
apaharisuvavarigosugavA apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
apaharisuvavarigosugavU apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
apaharisuvavarigosuga apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
apaharisuvavarigosugavA apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
apaharisuvavarigosugavU apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
apaharisuvavarigosugavo apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
apaharisuvavarigosugave apaharisu(V27)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
apaharisuvavarigiMwa apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
apaharisuvavarigiMwalA apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
apaharisuvavarigiMwalU apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
apaharisuvavarigiMwalo apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
apaharisuvavarigiMwalo apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
apaharisuvavarigiMwalo apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
apaharisuvavarigiMwale apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
apaharisuvavarigiMwale apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
apaharisuvavarigiMwale apaharisu(V27)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
apaharisuvavaraMweV apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
apaharisuvavaraMweVyA apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
apaharisuvavaraMweVyU apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
apaharisuvavaraMweVyo apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
apaharisuvavaraMweVyo apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
apaharisuvavaraMweVyo apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
apaharisuvavaraMweVye apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
apaharisuvavaraMweVye apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
apaharisuvavaraMweVye apaharisu(V27)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
apaharisuvavaroVdaneV apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
apaharisuvavaroVdaneVyA apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
apaharisuvavaroVdaneVyU apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
apaharisuvavaroVdaneVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
apaharisuvavaroVdaneVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
apaharisuvavaroVdaneVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
apaharisuvavaroVdaneVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
apaharisuvavaroVdaneVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
apaharisuvavaroVdaneVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
apaharisuvavaroVMxigeV  apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
apaharisuvavaroVMxigeVyA apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
apaharisuvavaroVMxigeVyU apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
apaharisuvavaroVMxigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
apaharisuvavaroVMxigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
apaharisuvavaroVMxigeVyo apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
apaharisuvavaroVMxigeVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
apaharisuvavaroVMxigeVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
apaharisuvavaroVMxigeVye apaharisu(V27)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
apaharisuvuxannA apaharisu(V27)+vuxu_#_ACC+xannA_xu_INTR
apaharisuvuxannU apaharisu(V27)+vuxu_#_ACC+xannU_xu_INCL
apaharisuvuxanno apaharisu(V27)+vuxu_#_ACC+xanno_xu_DUB
apaharisuvuxanno apaharisu(V27)+vuxu_#_ACC+xanno_xu_INDF
apaharisuvuxanno apaharisu(V27)+vuxu_#_ACC+xanno_xu_PRES
apaharisuvuxanne apaharisu(V27)+vuxu_#_ACC+xanne_xu_IMPH
apaharisuvuxanne apaharisu(V27)+vuxu_#_ACC+xanne_xu_DECL
apaharisuvuxanne apaharisu(V27)+vuxu_#_ACC+xanne_xu_RIS
apaharisuvuxariMxalA apaharisu(V27)+vuxu_#_INS+xariMxalA_xu_INTR
apaharisuvuxariMxalU apaharisu(V27)+vuxu_#_INS+xariMxalU_xu_INCL
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_INS+xariMxalo_xu_DUB
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_INS+xariMxalo_xu_INDF
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_INS+xariMxalo_xu_PRES
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_INS+xariMxale_xu_IMPH
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_INS+xariMxale_xu_DECL
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_INS+xariMxale_xu_RIS
apaharisuvuxakkeVyA apaharisu(V27)+vuxu_#_DAT+xakkeVyA_xu_INTR
apaharisuvuxakkeVyU apaharisu(V27)+vuxu_#_DAT+xakkeVyU_xu_INCL
apaharisuvuxakkeVyo apaharisu(V27)+vuxu_#_DAT+xakkeVyo_xu_DUB
apaharisuvuxakkeVyo apaharisu(V27)+vuxu_#_DAT+xakkeVyo_xu_INDF
apaharisuvuxakkeVyo apaharisu(V27)+vuxu_#_DAT+xakkeVyo_xu_PRES
apaharisuvuxakkeVye apaharisu(V27)+vuxu_#_DAT+xakkeVye_xu_IMPH
apaharisuvuxakkeVye apaharisu(V27)+vuxu_#_DAT+xakkeVye_xu_DECL
apaharisuvuxakkeVye apaharisu(V27)+vuxu_#_DAT+xakkeVye_xu_RIS
apaharisuvuxariMxalA apaharisu(V27)+vuxu_#_ABL+xariMxalA_xu_INTR
apaharisuvuxariMxalU apaharisu(V27)+vuxu_#_ABL+xariMxalU_xu_INCL
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_ABL+xariMxalo_xu_DUB
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_ABL+xariMxalo_xu_INDF
apaharisuvuxariMxalo apaharisu(V27)+vuxu_#_ABL+xariMxalo_xu_PRES
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_ABL+xariMxale_xu_IMPH
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_ABL+xariMxale_xu_DECL
apaharisuvuxariMxale apaharisu(V27)+vuxu_#_ABL+xariMxale_xu_RIS
apaharisuvuxaralliyA apaharisu(V27)+vuxu_#_LOC+xaralliyA_xu_INTR
apaharisuvuxaralliyU apaharisu(V27)+vuxu_#_LOC+xaralliyU_xu_INCL
apaharisuvuxaralliyo apaharisu(V27)+vuxu_#_LOC+xaralliyo_xu_DUB
apaharisuvuxaralliyo apaharisu(V27)+vuxu_#_LOC+xaralliyo_xu_INDF
apaharisuvuxaralliyo apaharisu(V27)+vuxu_#_LOC+xaralliyo_xu_PRES
apaharisuvuxaralliye apaharisu(V27)+vuxu_#_LOC+xaralliye_xu_IMPH
apaharisuvuxaralliye apaharisu(V27)+vuxu_#_LOC+xaralliye_xu_DECL
apaharisuvuxaralliye apaharisu(V27)+vuxu_#_LOC+xaralliye_xu_RIS
apaharisuvuxakkoskaravA apaharisu(V27)+vuxu_#_BEN+xakkoskaravA_xu_INTR
apaharisuvuxakkoskaravU apaharisu(V27)+vuxu_#_BEN+xakkoskaravU_xu_INCL
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_BEN+xakkoskaravo_xu_DUB
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_BEN+xakkoskaravo_xu_INDF
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_BEN+xakkoskaravo_xu_PRES
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_BEN+xakkoskarave_xu_IMPH
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_BEN+xakkoskarave_xu_DECL
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_BEN+xakkoskarave_xu_RIS
apaharisuvuxakkoskaravA apaharisu(V27)+vuxu_#_PUR+xakkoskaravA_xu_INTR
apaharisuvuxakkoskaravU apaharisu(V27)+vuxu_#_PUR+xakkoskaravU_xu_INCL
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_PUR+xakkoskaravo_xu_DUB
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_PUR+xakkoskaravo_xu_INDF
apaharisuvuxakkoskaravo apaharisu(V27)+vuxu_#_PUR+xakkoskaravo_xu_PRES
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_PUR+xakkoskarave_xu_IMPH
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_PUR+xakkoskarave_xu_DECL
apaharisuvuxakkoskarave apaharisu(V27)+vuxu_#_PUR+xakkoskarave_xu_RIS
apaharisuvuxaixagiyA apaharisu(V27)+vuxu_#_BEN+xaixagiyA_xu_INTR
apaharisuvuxaixagiyU apaharisu(V27)+vuxu_#_BEN+xaixagiyU_xu_INCL
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_BEN+xaixagiyo_xu_DUB
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_BEN+xaixagiyo_xu_INDF
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_BEN+xaixagiyo_xu_PRES
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_BEN+xaixagiye_xu_IMPH
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_BEN+xaixagiye_xu_DECL
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_BEN+xaixagiye_xu_RIS
apaharisuvuxaixagiyA apaharisu(V27)+vuxu_#_PUR+xaixagiyA_xu_INTR
apaharisuvuxaixagiyU apaharisu(V27)+vuxu_#_PUR+xaixagiyU_xu_INCL
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_PUR+xaixagiyo_xu_DUB
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_PUR+xaixagiyo_xu_INDF
