sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
soluvavariMxa  solu(V5)+va_#_PRP+vava_va_ABL+riMxa_#_3P
soluvavariMxalA solu(V5)+va_#_PRP+vava_va_ABL+riMxalA_#_INTR
soluvavariMxalU solu(V5)+va_#_PRP+vava_va_ABL+riMxalU_#_INCL
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_ABL+riMxalo_#_DUB
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_ABL+riMxalo_#_INDF
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_ABL+riMxalo_#_PRES
soluvavariMxale solu(V5)+va_#_PRP+vava_va_ABL+riMxale_#_IMPH
soluvavariMxale solu(V5)+va_#_PRP+vava_va_ABL+riMxale_#_DECL
soluvavariMxale solu(V5)+va_#_PRP+vava_va_ABL+riMxale_#_RIS
soluvavara solu(V5)+va_#_PRP+vava_va_GEN+ra_#_3P
soluvavaralli solu(V5)+va_#_PRP+vava_va_LOC+ralli_#_3P
soluvavaralliyA solu(V5)+va_#_PRP+vava_va_LOC+ralliyA_#_INTR
soluvavaralliyU solu(V5)+va_#_PRP+vava_va_LOC+ralliyU_#_INCL
soluvavaralliyo solu(V5)+va_#_PRP+vava_va_LOC+ralliyo_#_DUB
soluvavaralliyo solu(V5)+va_#_PRP+vava_va_LOC+ralliyo_#_INDF
soluvavaralliyo solu(V5)+va_#_PRP+vava_va_LOC+ralliyo_#_PRES
soluvavaralliye solu(V5)+va_#_PRP+vava_va_LOC+ralliye_#_IMPH
soluvavaralliye solu(V5)+va_#_PRP+vava_va_LOC+ralliye_#_DECL
soluvavaralliye solu(V5)+va_#_PRP+vava_va_LOC+ralliye_#_RIS
soluvavarigoskara solu(V5)+va_#_PRP+vava_va_BEN+rigoskara_#_3P
soluvavarigoskaravA solu(V5)+va_#_PRP+vava_va_BEN+rigoskaravA_#_INTR
soluvavarigoskaravU solu(V5)+va_#_PRP+vava_va_BEN+rigoskaravU_#_INCL
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_BEN+rigoskaravo_#_DUB
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_BEN+rigoskaravo_#_INDF
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_BEN+rigoskaravo_#_PRES
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_BEN+rigoskarave_#_IMPH
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_BEN+rigoskarave_#_DECL
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_BEN+rigoskarave_#_RIS
soluvavarigoskara solu(V5)+va_#_PRP+vava_va_PUR+rigoskara_#_3P
soluvavarigoskaravA solu(V5)+va_#_PRP+vava_va_PUR+rigoskaravA_#_INTR
soluvavarigoskaravU solu(V5)+va_#_PRP+vava_va_PUR+rigoskaravU_#_INCL
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_PUR+rigoskaravo_#_DUB
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_PUR+rigoskaravo_#_INDF
soluvavarigoskaravo solu(V5)+va_#_PRP+vava_va_PUR+rigoskaravo_#_PRES
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_PUR+rigoskarave_#_IMPH
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_PUR+rigoskarave_#_DECL
soluvavarigoskarave solu(V5)+va_#_PRP+vava_va_PUR+rigoskarave_#_RIS
soluvavarigAgi solu(V5)+va_#_PRP+vava_va_BEN+rigAgi_#_3P
soluvavarigAgiyA solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyA_#_INTR
soluvavarigAgiyU solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyU_#_INCL
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_DUB
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_INDF
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_PRES
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_IMPH
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_DECL
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_RIS
soluvavarigAgi solu(V5)+va_#_PRP+vava_va_PUR+rigAgi_#_3P
soluvavarigAgiyA solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyA_#_INTR
soluvavarigAgiyU solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyU_#_INCL
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_DUB
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_INDF
soluvavarigAgiyo solu(V5)+va_#_PRP+vava_va_BEN+rigAgiyo_#_PRES
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_IMPH
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_DECL
soluvavarigAgiye solu(V5)+va_#_PRP+vava_va_BEN+rigAgiye_#_RIS
soluvavarigosuga solu(V5)+va_#_PRP+vava_va_BEN+rigosuga_#_3P
soluvavarigosugavA solu(V5)+va_#_PRP+vava_va_BEN+rigosugavA_#_INTR
soluvavarigosugavU solu(V5)+va_#_PRP+vava_va_BEN+rigosugavU_#_INCL
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_BEN+rigosugavo_#_DUB
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_BEN+rigosugavo_#_INDF
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_BEN+rigosugavo_#_PRES
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_BEN+rigosugave_#_IMPH
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_BEN+rigosugave_#_DECL
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_BEN+rigosugave_#_RIS
soluvavarigosuga solu(V5)+va_#_PRP+vava_va_PUR+rigosuga_#_3P
soluvavarigosugavA solu(V5)+va_#_PRP+vava_va_PUR+rigosugavA_#_INTR
soluvavarigosugavU solu(V5)+va_#_PRP+vava_va_PUR+rigosugavU_#_INCL
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_PUR+rigosugavo_#_DUB
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_PUR+rigosugavo_#_INDF
soluvavarigosugavo solu(V5)+va_#_PRP+vava_va_PUR+rigosugavo_#_PRES
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_PUR+rigosugave_#_IMPH
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_PUR+rigosugave_#_DECL
soluvavarigosugave solu(V5)+va_#_PRP+vava_va_PUR+rigosugave_#_RIS
soluvavarigiwa solu(V5)+va_#_PRP+vava_va_COMP+rigiwa_#_3P
soluvavarigiwalA solu(V5)+va_#_PRP+vava_va_COMP+rigiwalA_#_INTR
soluvavarigiwalU solu(V5)+va_#_PRP+vava_va_COMP+rigiwalU_#_INCL
soluvavarigiwalo solu(V5)+va_#_PRP+vava_va_COMP+rigiwalo_#_DUB
soluvavarigiwalo solu(V5)+va_#_PRP+vava_va_COMP+rigiwalo_#_INDF
soluvavarigiwalo solu(V5)+va_#_PRP+vava_va_COMP+rigiwalo_#_PRES
soluvavarigiwale solu(V5)+va_#_PRP+vava_va_COMP+rigiwale_#_IMPH
soluvavarigiwale solu(V5)+va_#_PRP+vava_va_COMP+rigiwale_#_DECL
soluvavarigiwale solu(V5)+va_#_PRP+vava_va_COMP+rigiwale_#_RIS
soluvavaraMweV solu(V5)+va_#_PRP+vava_va_SIM+raMweV_#_3P
soluvavaraMweVyA solu(V5)+va_#_PRP+vava_va_SIM+raMweVyA_#_INTR
soluvavaraMweVyU solu(V5)+va_#_PRP+vava_va_SIM+raMweVyU_#_INCL
soluvavaraMweVyo solu(V5)+va_#_PRP+vava_va_SIM+raMweVyo_#_DUB
soluvavaraMweVyo solu(V5)+va_#_PRP+vava_va_SIM+raMweVyo_#_INDF
soluvavaraMweVyo solu(V5)+va_#_PRP+vava_va_SIM+raMweVyo_#_PRES
soluvavaraMweVye solu(V5)+va_#_PRP+vava_va_SIM+raMweVye_#_IMPH
soluvavaraMweVye solu(V5)+va_#_PRP+vava_va_SIM+raMweVye_#_DECL
soluvavaraMweVye solu(V5)+va_#_PRP+vava_va_SIM+raMweVye_#_RIS
soluvavaroVdaneV solu(V5)+va_#_PRP+vava_va_SOC+roVdaneV_#_3P
soluvavaroVdaneVyA solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVyA_#_INTR
soluvavaroVdaneVyU solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVyU_#_INCL
soluvavaroVdaneVyo solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVyo_#_DUB
soluvavaroVdaneVyo solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVyo_#_INDF
soluvavaroVdaneVyo solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVyo_#_PRES
soluvavaroVdaneVye solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVye_#_IMPH
soluvavaroVdaneVye solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVye_#_DECL
soluvavaroVdaneVye solu(V5)+va_#_PRP+vava_va_SOC+roVdaneVye_#_RIS
soluvavaroVMxigeV  solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeV_#_3P
soluvavaroVMxigeVyA solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVyA_#_INTR
soluvavaroVMxigeVyU solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVyU_#_INCL
soluvavaroVMxigeVyo solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVyo_#_DUB
soluvavaroVMxigeVyo solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVyo_#_INDF
soluvavaroVMxigeVyo solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVyo_#_PRES
soluvavaroVMxigeVye solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVye_#_IMPH
soluvavaroVMxigeVye solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVye_#_DECL
soluvavaroVMxigeVye solu(V5)+va_#_PRP+vava_va_SOC+roVMxigeVye_#_RIS
soluvuxannA solu(V5)+vuxu_#_ACC+xannA_xu_INTR
soluvuxannU solu(V5)+vuxu_#_ACC+xannU_xu_INCL
soluvuxanno solu(V5)+vuxu_#_ACC+xanno_xu_DUB
soluvuxanno solu(V5)+vuxu_#_ACC+xanno_xu_INDF
soluvuxanno solu(V5)+vuxu_#_ACC+xanno_xu_PRES
soluvuxanne solu(V5)+vuxu_#_ACC+xanne_xu_IMPH
soluvuxanne solu(V5)+vuxu_#_ACC+xanne_xu_DECL
soluvuxanne solu(V5)+vuxu_#_ACC+xanne_xu_RIS
soluvuxariMxalA solu(V5)+vuxu_#_INS+xariMxalA_xu_INTR
soluvuxariMxalU solu(V5)+vuxu_#_INS+xariMxalU_xu_INCL
soluvuxariMxalo solu(V5)+vuxu_#_INS+xariMxalo_xu_DUB
soluvuxariMxalo solu(V5)+vuxu_#_INS+xariMxalo_xu_INDF
soluvuxariMxalo solu(V5)+vuxu_#_INS+xariMxalo_xu_PRES
soluvuxariMxale solu(V5)+vuxu_#_INS+xariMxale_xu_IMPH
soluvuxariMxale solu(V5)+vuxu_#_INS+xariMxale_xu_DECL
soluvuxariMxale solu(V5)+vuxu_#_INS+xariMxale_xu_RIS
soluvuxakkeVyA solu(V5)+vuxu_#_DAT+xakkeVyA_xu_INTR
soluvuxakkeVyU solu(V5)+vuxu_#_DAT+xakkeVyU_xu_INCL
soluvuxakkeVyo solu(V5)+vuxu_#_DAT+xakkeVyo_xu_DUB
soluvuxakkeVyo solu(V5)+vuxu_#_DAT+xakkeVyo_xu_INDF
soluvuxakkeVyo solu(V5)+vuxu_#_DAT+xakkeVyo_xu_PRES
soluvuxakkeVye solu(V5)+vuxu_#_DAT+xakkeVye_xu_IMPH
soluvuxakkeVye solu(V5)+vuxu_#_DAT+xakkeVye_xu_DECL
soluvuxakkeVye solu(V5)+vuxu_#_DAT+xakkeVye_xu_RIS
soluvuxariMxalA solu(V5)+vuxu_#_ABL+xariMxalA_xu_INTR
soluvuxariMxalU solu(V5)+vuxu_#_ABL+xariMxalU_xu_INCL
soluvuxariMxalo solu(V5)+vuxu_#_ABL+xariMxalo_xu_DUB
soluvuxariMxalo solu(V5)+vuxu_#_ABL+xariMxalo_xu_INDF
soluvuxariMxalo solu(V5)+vuxu_#_ABL+xariMxalo_xu_PRES
soluvuxariMxale solu(V5)+vuxu_#_ABL+xariMxale_xu_IMPH
soluvuxariMxale solu(V5)+vuxu_#_ABL+xariMxale_xu_DECL
soluvuxariMxale solu(V5)+vuxu_#_ABL+xariMxale_xu_RIS
soluvuxaralliyA solu(V5)+vuxu_#_LOC+xaralliyA_xu_INTR
soluvuxaralliyU solu(V5)+vuxu_#_LOC+xaralliyU_xu_INCL
soluvuxaralliyo solu(V5)+vuxu_#_LOC+xaralliyo_xu_DUB
soluvuxaralliyo solu(V5)+vuxu_#_LOC+xaralliyo_xu_INDF
soluvuxaralliyo solu(V5)+vuxu_#_LOC+xaralliyo_xu_PRES
soluvuxaralliye solu(V5)+vuxu_#_LOC+xaralliye_xu_IMPH
soluvuxaralliye solu(V5)+vuxu_#_LOC+xaralliye_xu_DECL
soluvuxaralliye solu(V5)+vuxu_#_LOC+xaralliye_xu_RIS
soluvuxakkoskaravA solu(V5)+vuxu_#_BEN+xakkoskaravA_xu_INTR
soluvuxakkoskaravU solu(V5)+vuxu_#_BEN+xakkoskaravU_xu_INCL
soluvuxakkoskaravo solu(V5)+vuxu_#_BEN+xakkoskaravo_xu_DUB
soluvuxakkoskaravo solu(V5)+vuxu_#_BEN+xakkoskaravo_xu_INDF
soluvuxakkoskaravo solu(V5)+vuxu_#_BEN+xakkoskaravo_xu_PRES
soluvuxakkoskarave solu(V5)+vuxu_#_BEN+xakkoskarave_xu_IMPH
soluvuxakkoskarave solu(V5)+vuxu_#_BEN+xakkoskarave_xu_DECL
soluvuxakkoskarave solu(V5)+vuxu_#_BEN+xakkoskarave_xu_RIS
soluvuxakkoskaravA solu(V5)+vuxu_#_PUR+xakkoskaravA_xu_INTR
soluvuxakkoskaravU solu(V5)+vuxu_#_PUR+xakkoskaravU_xu_INCL
soluvuxakkoskaravo solu(V5)+vuxu_#_PUR+xakkoskaravo_xu_DUB
soluvuxakkoskaravo solu(V5)+vuxu_#_PUR+xakkoskaravo_xu_INDF
soluvuxakkoskaravo solu(V5)+vuxu_#_PUR+xakkoskaravo_xu_PRES
soluvuxakkoskarave solu(V5)+vuxu_#_PUR+xakkoskarave_xu_IMPH
soluvuxakkoskarave solu(V5)+vuxu_#_PUR+xakkoskarave_xu_DECL
soluvuxakkoskarave solu(V5)+vuxu_#_PUR+xakkoskarave_xu_RIS
soluvuxakkAgiyA solu(V5)+vuxu_#_BEN+xakkAgiyA_xu_INTR
soluvuxakkAgiyU solu(V5)+vuxu_#_BEN+xakkAgiyU_xu_INCL
soluvuxakkAgiyo solu(V5)+vuxu_#_BEN+xakkAgiyo_xu_DUB
soluvuxakkAgiyo solu(V5)+vuxu_#_BEN+xakkAgiyo_xu_INDF
soluvuxakkAgiyo solu(V5)+vuxu_#_BEN+xakkAgiyo_xu_PRES
soluvuxakkAgiye solu(V5)+vuxu_#_BEN+xakkAgiye_xu_IMPH
soluvuxakkAgiye solu(V5)+vuxu_#_BEN+xakkAgiye_xu_DECL
soluvuxakkAgiye solu(V5)+vuxu_#_BEN+xakkAgiye_xu_RIS
soluvuxakkAgiyA solu(V5)+vuxu_#_PUR+xakkAgiyA_xu_INTR
soluvuxakkAgiyU solu(V5)+vuxu_#_PUR+xakkAgiyU_xu_INCL
soluvuxakkAgiyo solu(V5)+vuxu_#_PUR+xakkAgiyo_xu_DUB
soluvuxakkAgiyo solu(V5)+vuxu_#_PUR+xakkAgiyo_xu_INDF
soluvuxakkAgiyo solu(V5)+vuxu_#_PUR+xakkAgiyo_xu_PRES
soluvuxakkAgiye solu(V5)+vuxu_#_PUR+xakkAgiye_xu_IMPH
soluvuxakkAgiye solu(V5)+vuxu_#_PUR+xakkAgiye_xu_DECL
soluvuxakkAgiye solu(V5)+vuxu_#_PUR+xakkAgiye_xu_RIS
soluvuxakkosugavA solu(V5)+vuxu_#_BEN+xakkosugavA_xu_INTR
soluvuxakkosugavU solu(V5)+vuxu_#_BEN+xakkosugavU_xu_INCL
soluvuxakkosugavo solu(V5)+vuxu_#_BEN+xakkosugavo_xu_DUB
soluvuxakkosugavo solu(V5)+vuxu_#_BEN+xakkosugavo_xu_INDF
soluvuxakkosugavo solu(V5)+vuxu_#_BEN+xakkosugavo_xu_PRES
soluvuxakkosugave solu(V5)+vuxu_#_BEN+xakkosugave_xu_IMPH
soluvuxakkosugave solu(V5)+vuxu_#_BEN+xakkosugave_xu_DECL
soluvuxakkosugave solu(V5)+vuxu_#_BEN+xakkosugave_xu_RIS
soluvuxakkosugavA solu(V5)+vuxu_#_PUR+xakkosugavA_xu_INTR
soluvuxakkosugavU solu(V5)+vuxu_#_PUR+xakkosugavU_xu_INCL
soluvuxakkosugavo solu(V5)+vuxu_#_PUR+xakkosugavo_xu_DUB
soluvuxakkosugavo solu(V5)+vuxu_#_PUR+xakkosugavo_xu_INDF
soluvuxakkosugavo solu(V5)+vuxu_#_PUR+xakkosugavo_xu_PRES
soluvuxakkosugave solu(V5)+vuxu_#_PUR+xakkosugave_xu_IMPH
soluvuxakkosugave solu(V5)+vuxu_#_PUR+xakkosugave_xu_DECL
soluvuxakkosugave solu(V5)+vuxu_#_PUR+xakkosugave_xu_RIS
soluvuxakkiwalA solu(V5)+vuxu_#_COMP+xakkiwalA_xu_INTR
soluvuxakkiwalU solu(V5)+vuxu_#_COMP+xakkiwalU_xu_INCL
soluvuxakkiwalo solu(V5)+vuxu_#_COMP+xakkiwalo_xu_DUB
soluvuxakkiwalo solu(V5)+vuxu_#_COMP+xakkiwalo_xu_INDF
soluvuxakkiwalo solu(V5)+vuxu_#_COMP+xakkiwalo_xu_PRES
soluvuxakkiwale solu(V5)+vuxu_#_COMP+xakkiwale_xu_IMPH
soluvuxakkiwale solu(V5)+vuxu_#_COMP+xakkiwale_xu_DECL
soluvuxakkiwale solu(V5)+vuxu_#_COMP+xakkiwale_xu_RIS
soluvaMweVyA solu(V5)+va_#_SIM+vaMweVyA_va_INTR
soluvaMweVyU solu(V5)+va_#_SIM+vaMweVyU_va_INCL
soluvaMweVyo solu(V5)+va_#_SIM+vaMweVyo_va_DUB
soluvaMweVyo solu(V5)+va_#_SIM+vaMweVyo_va_INDF
soluvaMweVyo solu(V5)+va_#_SIM+vaMweVyo_va_PRES
soluvaMweVye solu(V5)+va_#_SIM+vaMweVye_va_IMPH
soluvaMweVye solu(V5)+va_#_SIM+vaMweVye_va_DECL
soluvaMweVye solu(V5)+va_#_SIM+vaMweVye_va_RIS
soluvuxaroVMxigeVyA solu(V5)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
soluvuxaroVMxigeVyU solu(V5)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
soluvuxaroVMxigeVyo solu(V5)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
soluvuxaroVMxigeVyo solu(V5)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
soluvuxaroVMxigeVyo solu(V5)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
soluvuxaroVMxigeVye solu(V5)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
soluvuxaroVMxigeVye solu(V5)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
soluvuxaroVMxigeVye solu(V5)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
soluvuxaroVdaneVyA solu(V5)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
soluvuxaroVdaneVyU solu(V5)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
soluvuxaroVdaneVyo solu(V5)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
soluvuxaroVdaneVyo solu(V5)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
soluvuxaroVdaneVyo solu(V5)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
soluvuxaroVdaneVye solu(V5)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
soluvuxaroVdaneVye solu(V5)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
soluvuxaroVdaneVye solu(V5)+vuxu_#_SOC+xaroVdaneVye_xu_RIS

sowavalYannu solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYannu_lYu_3SF
sowavanannu solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nannu_nu_3SM
sowavanannA solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nannA_nu_INTR
sowavanannU solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nannU_nu_INCL
sowavananno solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanno_nu_DUB
sowavananno solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanno_nu_INDF
sowavananno solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanno_nu_PRES
sowavananne solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanne_nu_IMPH
sowavananne solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanne_nu_DECL
sowavananne solu(V5)+wa_lu_PRP+wavanu_wa_ACC+nanne_nu_RIS
sowavasoxa solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxa_nu_3SM
sowavasoxalA solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxalA_nu_INTR
sowavasoxalU solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxalU_nu_INCL
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxalo_nu_DUB
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxalo_nu_INDF
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxalo_nu_PRES
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxale_nu_IMPH
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxale_nu_DECL
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_INS+soxale_nu_RIS
sowavanalligeV solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeV_nu_3SM
sowavanalligeVyA solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVyA_nu_INTR
sowavanalligeVyU solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVyU_nu_INCL
sowavanalligeVyo solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVyo_nu_DUB
sowavanalligeVyo solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVyo_nu_INDF
sowavanalligeVyo solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVyo_nu_PRES
sowavanalligeVye solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVye_nu_IMPH
sowavanalligeVye solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVye_nu_DECL
sowavanalligeVye solu(V5)+wa_lu_PRP+wavanu_wa_DAT+nalligeVye_nu_RIS
sowavasoxa  solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxa_nu_3SM
sowavasoxalA solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxalA_nu_INTR
sowavasoxalU solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxalU_nu_INCL
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxalo_nu_DUB
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxalo_nu_INDF
sowavasoxalo solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxalo_nu_PRES
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxale_nu_IMPH
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxale_nu_DECL
sowavasoxale solu(V5)+wa_lu_PRP+wavanu_wa_ABL+soxale_nu_RIS
sowavana solu(V5)+wa_lu_PRP+wavanu_wa_GEN+na_nu_3SM
sowavanalli solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalli_nu_3SM
sowavanalliyA solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliyA_nu_INTR
sowavanalliyU solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliyU_nu_INCL
sowavanalliyo solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliyo_nu_DUB
sowavanalliyo solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliyo_nu_INDF
sowavanalliyo solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliyo_nu_PRES
sowavanalliye solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliye_nu_IMPH
sowavanalliye solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliye_nu_DECL
sowavanalliye solu(V5)+wa_lu_PRP+wavanu_wa_LOC+nalliye_nu_RIS
sowavanigoskara solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskara_nu_3SM
sowavanigoskaravA solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskaravA_nu_INTR
sowavanigoskaravU solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskaravU_nu_INCL
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskaravo_nu_DUB
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskaravo_nu_INDF
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskaravo_nu_PRES
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskarave_nu_IMPH
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskarave_nu_DECL
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigoskarave_nu_RIS
sowavanigoskara solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskara_nu_3SM
sowavanigoskaravA solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskaravA_nu_INTR
sowavanigoskaravU solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskaravU_nu_INCL
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskaravo_nu_DUB
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskaravo_nu_INDF
sowavanigoskaravo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskaravo_nu_PRES
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskarave_nu_IMPH
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskarave_nu_DECL
sowavanigoskarave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigoskarave_nu_RIS
sowavanigAgi solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgi_nu_3SM
sowavanigAgiyA solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiyA_nu_INTR
sowavanigAgiyU solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiyU_nu_INCL
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiyo_nu_DUB
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiyo_nu_INDF
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiyo_nu_PRES
