koVMxanu koVllu(V14)+Mxa_llu_PAST+anu_a_3SM   
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
koVlluvavalYigosuga koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
koVlluvavalYigosugavA koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
koVlluvavalYigosugavU koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
koVlluvavalYigiMwa koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
koVlluvavalYigiMwalA koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
koVlluvavalYigiMwalU koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
koVlluvavalYigiMwalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
koVlluvavalYigiMwalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
koVlluvavalYigiMwalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
koVlluvavalYigiMwale koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
koVlluvavalYigiMwale koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
koVlluvavalYigiMwale koVllu(V14)+lluva_llu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
koVlluvavalYaMweV koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
koVlluvavalYaMweVyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
koVlluvavalYaMweVyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
koVlluvavalYaMweVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
koVlluvavalYaMweVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
koVlluvavalYaMweVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
koVlluvavalYaMweVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
koVlluvavalYaMweVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
koVlluvavalYaMweVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
koVlluvavalYoVdaneV koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
koVlluvavalYoVdaneVyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
koVlluvavalYoVdaneVyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
koVlluvavalYoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
koVlluvavalYoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
koVlluvavalYoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
koVlluvavalYoVdaneVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
koVlluvavalYoVdaneVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
koVlluvavalYoVdaneVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
koVlluvavalYoVMxigeV  koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
koVlluvavalYoVMxigeVyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
koVlluvavalYoVMxigeVyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
koVlluvavalYoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
koVlluvavalYoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
koVlluvavalYoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
koVlluvavalYoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
koVlluvavalYoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
koVlluvavalYoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
koVlluvavarannu koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+rannu_ru_3P
koVlluvavarannA koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+rannA_ru_INTR
koVlluvavarannU koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+rannU_ru_INCL
koVlluvavaranno koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranno_ru_DUB
koVlluvavaranno koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranno_ru_INDF
koVlluvavaranno koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranno_ru_PRES
koVlluvavaranne koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranne_ru_IMPH
koVlluvavaranne koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranne_ru_DECL
koVlluvavaranne koVllu(V14)+lluva_llu_PRP+vavaru_va_ACC+ranne_ru_RIS
koVlluvavariMMxa koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxa_ru_3P
koVlluvavariMMxalA koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxalA_ru_INTR
koVlluvavariMMxalU koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxalU_ru_INCL
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxalo_ru_DUB
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxalo_ru_INDF
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxalo_ru_PRES
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxale_ru_IMPH
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxale_ru_DECL
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_INS+riMMxale_ru_RIS
koVlluvavarigeV koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeV_ru_3P
koVlluvavarigeVyA koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
koVlluvavarigeVyU koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
koVlluvavarigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
koVlluvavarigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
koVlluvavarigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
koVlluvavarigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
koVlluvavarigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
koVlluvavarigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
koVlluvavariMMxa  koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxa_ru_3P
koVlluvavariMMxalA koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxalA_ru_INTR
koVlluvavariMMxalU koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxalU_ru_INCL
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxalo_ru_DUB
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxalo_ru_INDF
koVlluvavariMMxalo koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxalo_ru_PRES
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxale_ru_IMPH
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxale_ru_DECL
koVlluvavariMMxale koVllu(V14)+lluva_llu_PRP+vavaru_va_ABL+riMMxale_ru_RIS
koVlluvavara koVllu(V14)+lluva_llu_PRP+vavaru_va_GEN+ra_ru_3P
koVlluvavaralli koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralli_ru_3P
koVlluvavaralliyA koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
koVlluvavaralliyU koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
koVlluvavaralliyo koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
koVlluvavaralliyo koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
koVlluvavaralliyo koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
koVlluvavaralliye koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
koVlluvavaralliye koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliye_ru_DECL
koVlluvavaralliye koVllu(V14)+lluva_llu_PRP+vavaru_va_LOC+ralliye_ru_RIS
koVlluvavarigoskara koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskara_ru_3P
koVlluvavarigoskaravA koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
koVlluvavarigoskaravU koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
koVlluvavarigoskara koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskara_ru_3P
koVlluvavarigoskaravA koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
koVlluvavarigoskaravU koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
koVlluvavarigoskaravo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
koVlluvavarigoskarave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
koVlluvavarigAgi koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgi_ru_3P
koVlluvavarigAgiyA koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
koVlluvavarigAgiyU koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
koVlluvavarigAgi koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigAgi_ru_3P
koVlluvavarigAgiyA koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
koVlluvavarigAgiyU koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
koVlluvavarigAgiyo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
koVlluvavarigAgiye koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
koVlluvavarigosuga koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosuga_ru_3P
koVlluvavarigosugavA koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
koVlluvavarigosugavU koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
koVlluvavarigosuga koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosuga_ru_3P
koVlluvavarigosugavA koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
koVlluvavarigosugavU koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
koVlluvavarigosugavo koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
koVlluvavarigosugave koVllu(V14)+lluva_llu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
koVlluvavarigiMwa koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
koVlluvavarigiMwalA koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
koVlluvavarigiMwalU koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
koVlluvavarigiMwalo koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
koVlluvavarigiMwalo koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
koVlluvavarigiMwalo koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
koVlluvavarigiMwale koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
koVlluvavarigiMwale koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
koVlluvavarigiMwale koVllu(V14)+lluva_llu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
koVlluvavaraMweV koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweV_ru_3P
koVlluvavaraMweVyA koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
koVlluvavaraMweVyU koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
koVlluvavaraMweVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
koVlluvavaraMweVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
koVlluvavaraMweVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
koVlluvavaraMweVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
koVlluvavaraMweVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
koVlluvavaraMweVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
koVlluvavaroVdaneV koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
koVlluvavaroVdaneVyA koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
koVlluvavaroVdaneVyU koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
koVlluvavaroVdaneVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
koVlluvavaroVdaneVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
koVlluvavaroVdaneVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
koVlluvavaroVdaneVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
koVlluvavaroVdaneVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
koVlluvavaroVdaneVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
koVlluvavaroVMxigeV  koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
koVlluvavaroVMxigeVyA koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
koVlluvavaroVMxigeVyU koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
koVlluvavaroVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
koVlluvavaroVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
koVlluvavaroVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
koVlluvavaroVMxigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
koVlluvavaroVMxigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
koVlluvavaroVMxigeVye koVllu(V14)+lluva_llu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
koVlluvuMxannA koVllu(V14)+lluvuxu_llu_ACC+MxannA_xu_INTR
koVlluvuMxannU koVllu(V14)+lluvuxu_llu_ACC+MxannU_xu_INCL
koVlluvuMxanno koVllu(V14)+lluvuxu_llu_ACC+Mxanno_xu_DUB
koVlluvuMxanno koVllu(V14)+lluvuxu_llu_ACC+Mxanno_xu_INDF
koVlluvuMxanno koVllu(V14)+lluvuxu_llu_ACC+Mxanno_xu_PRES
koVlluvuMxanne koVllu(V14)+lluvuxu_llu_ACC+Mxanne_xu_IMPH
koVlluvuMxanne koVllu(V14)+lluvuxu_llu_ACC+Mxanne_xu_DECL
koVlluvuMxanne koVllu(V14)+lluvuxu_llu_ACC+Mxanne_xu_RIS
koVlluvuMxariMMxalA koVllu(V14)+lluvuxu_llu_INS+MxariMMxalA_xu_INTR
koVlluvuMxariMMxalU koVllu(V14)+lluvuxu_llu_INS+MxariMMxalU_xu_INCL
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_INS+MxariMMxalo_xu_DUB
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_INS+MxariMMxalo_xu_INDF
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_INS+MxariMMxalo_xu_PRES
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_INS+MxariMMxale_xu_IMPH
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_INS+MxariMMxale_xu_DECL
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_INS+MxariMMxale_xu_RIS
koVlluvuMxakkeVyA koVllu(V14)+lluvuxu_llu_DAT+MxakkeVyA_xu_INTR
koVlluvuMxakkeVyU koVllu(V14)+lluvuxu_llu_DAT+MxakkeVyU_xu_INCL
koVlluvuMxakkeVyo koVllu(V14)+lluvuxu_llu_DAT+MxakkeVyo_xu_DUB
koVlluvuMxakkeVyo koVllu(V14)+lluvuxu_llu_DAT+MxakkeVyo_xu_INDF
koVlluvuMxakkeVyo koVllu(V14)+lluvuxu_llu_DAT+MxakkeVyo_xu_PRES
koVlluvuMxakkeVye koVllu(V14)+lluvuxu_llu_DAT+MxakkeVye_xu_IMPH
koVlluvuMxakkeVye koVllu(V14)+lluvuxu_llu_DAT+MxakkeVye_xu_DECL
koVlluvuMxakkeVye koVllu(V14)+lluvuxu_llu_DAT+MxakkeVye_xu_RIS
koVlluvuMxariMMxalA koVllu(V14)+lluvuxu_llu_ABL+MxariMMxalA_xu_INTR
koVlluvuMxariMMxalU koVllu(V14)+lluvuxu_llu_ABL+MxariMMxalU_xu_INCL
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_ABL+MxariMMxalo_xu_DUB
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_ABL+MxariMMxalo_xu_INDF
koVlluvuMxariMMxalo koVllu(V14)+lluvuxu_llu_ABL+MxariMMxalo_xu_PRES
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_ABL+MxariMMxale_xu_IMPH
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_ABL+MxariMMxale_xu_DECL
koVlluvuMxariMMxale koVllu(V14)+lluvuxu_llu_ABL+MxariMMxale_xu_RIS
koVlluvuMxaralliyA koVllu(V14)+lluvuxu_llu_LOC+MxaralliyA_xu_INTR
koVlluvuMxaralliyU koVllu(V14)+lluvuxu_llu_LOC+MxaralliyU_xu_INCL
koVlluvuMxaralliyo koVllu(V14)+lluvuxu_llu_LOC+Mxaralliyo_xu_DUB
koVlluvuMxaralliyo koVllu(V14)+lluvuxu_llu_LOC+Mxaralliyo_xu_INDF
koVlluvuMxaralliyo koVllu(V14)+lluvuxu_llu_LOC+Mxaralliyo_xu_PRES
koVlluvuMxaralliye koVllu(V14)+lluvuxu_llu_LOC+Mxaralliye_xu_IMPH
koVlluvuMxaralliye koVllu(V14)+lluvuxu_llu_LOC+Mxaralliye_xu_DECL
koVlluvuMxaralliye koVllu(V14)+lluvuxu_llu_LOC+Mxaralliye_xu_RIS
koVlluvuMxakkoskaravA koVllu(V14)+lluvuxu_llu_BEN+MxakkoskaravA_xu_INTR
koVlluvuMxakkoskaravU koVllu(V14)+lluvuxu_llu_BEN+MxakkoskaravU_xu_INCL
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskaravo_xu_DUB
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskaravo_xu_INDF
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskaravo_xu_PRES
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskarave_xu_IMPH
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskarave_xu_DECL
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_BEN+Mxakkoskarave_xu_RIS
koVlluvuMxakkoskaravA koVllu(V14)+lluvuxu_llu_PUR+MxakkoskaravA_xu_INTR
koVlluvuMxakkoskaravU koVllu(V14)+lluvuxu_llu_PUR+MxakkoskaravU_xu_INCL
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskaravo_xu_DUB
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskaravo_xu_INDF
koVlluvuMxakkoskaravo koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskaravo_xu_PRES
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskarave_xu_IMPH
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskarave_xu_DECL
koVlluvuMxakkoskarave koVllu(V14)+lluvuxu_llu_PUR+Mxakkoskarave_xu_RIS
koVlluvuMxakkkoVlliyA koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliyA_xu_INTR
koVlluvuMxakkkoVlliyU koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliyU_xu_INCL
koVlluvuMxakkkoVlliyo koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliyo_xu_DUB
koVlluvuMxakkkoVlliyo koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliyo_xu_INDF
koVlluvuMxakkkoVlliyo koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliyo_xu_PRES
koVlluvuMxakkkoVlliye koVllu(V14)+lluvuxu_llu_BEN+MxakkkoVlliye_xu_IMPH
