koVyxanu koVyyu(V13)+xa_yu_PAST+anu_a_3SM   
koVyyuvavalYigAyi koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyi_lYu_3SF
koVyyuvavalYigAyiyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiyA_lYu_INTR
koVyyuvavalYigAyiyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiyU_lYu_INCL
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiyo_lYu_DUB
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiyo_lYu_INDF
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiyo_lYu_PRES
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiye_lYu_IMPH
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiye_lYu_DECL
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigAyiye_lYu_RIS
koVyyuvavalYigosuga koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
koVyyuvavalYigosugavA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
koVyyuvavalYigosugavU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
koVyyuvavalYigosuga koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
koVyyuvavalYigosugavA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
koVyyuvavalYigosugavU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
koVyyuvavalYigosugavo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
koVyyuvavalYigosugave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
koVyyuvavalYigiMwa koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
koVyyuvavalYigiMwalA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
koVyyuvavalYigiMwalU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
koVyyuvavalYigiMwalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
koVyyuvavalYigiMwalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
koVyyuvavalYigiMwalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
koVyyuvavalYigiMwale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
koVyyuvavalYigiMwale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
koVyyuvavalYigiMwale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
koVyyuvavalYaMweV koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
koVyyuvavalYaMweVyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
koVyyuvavalYaMweVyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
koVyyuvavalYaMweVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
koVyyuvavalYaMweVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
koVyyuvavalYaMweVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
koVyyuvavalYaMweVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
koVyyuvavalYaMweVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
koVyyuvavalYaMweVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
koVyyuvavalYoVdaneV koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
koVyyuvavalYoVdaneVyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
koVyyuvavalYoVdaneVyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
koVyyuvavalYoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
koVyyuvavalYoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
koVyyuvavalYoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
koVyyuvavalYoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
koVyyuvavalYoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
koVyyuvavalYoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
koVyyuvavalYoVMxigeV  koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
koVyyuvavalYoVMxigeVyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
koVyyuvavalYoVMxigeVyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
koVyyuvavalYoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
koVyyuvavalYoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
koVyyuvavalYoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
koVyyuvavalYoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
koVyyuvavalYoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
koVyyuvavalYoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
koVyyuvavarannu koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+rannu_ru_3P
koVyyuvavarannA koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+rannA_ru_INTR
koVyyuvavarannU koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+rannU_ru_INCL
koVyyuvavaranno koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranno_ru_DUB
koVyyuvavaranno koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranno_ru_INDF
koVyyuvavaranno koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranno_ru_PRES
koVyyuvavaranne koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranne_ru_IMPH
koVyyuvavaranne koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranne_ru_DECL
koVyyuvavaranne koVyyu(V13)+yuva_yu_PRP+vavaru_va_ACC+ranne_ru_RIS
koVyyuvavariMxa koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxa_ru_3P
koVyyuvavariMxalA koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxalA_ru_INTR
koVyyuvavariMxalU koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxalU_ru_INCL
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxalo_ru_DUB
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxalo_ru_INDF
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxalo_ru_PRES
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxale_ru_IMPH
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxale_ru_DECL
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_INS+riMxale_ru_RIS
koVyyuvavarigeV koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeV_ru_3P
koVyyuvavarigeVyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
koVyyuvavarigeVyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
koVyyuvavarigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
koVyyuvavarigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
koVyyuvavarigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
koVyyuvavarigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
koVyyuvavarigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
koVyyuvavarigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
koVyyuvavariMxa  koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxa_ru_3P
koVyyuvavariMxalA koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxalA_ru_INTR
koVyyuvavariMxalU koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxalU_ru_INCL
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxalo_ru_DUB
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxalo_ru_INDF
koVyyuvavariMxalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxalo_ru_PRES
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxale_ru_IMPH
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxale_ru_DECL
koVyyuvavariMxale koVyyu(V13)+yuva_yu_PRP+vavaru_va_ABL+riMxale_ru_RIS
koVyyuvavara koVyyu(V13)+yuva_yu_PRP+vavaru_va_GEN+ra_ru_3P
koVyyuvavaralli koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralli_ru_3P
koVyyuvavaralliyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
koVyyuvavaralliyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
koVyyuvavaralliyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
koVyyuvavaralliyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
koVyyuvavaralliyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
koVyyuvavaralliye koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
koVyyuvavaralliye koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliye_ru_DECL
koVyyuvavaralliye koVyyu(V13)+yuva_yu_PRP+vavaru_va_LOC+ralliye_ru_RIS
koVyyuvavarigosAyra koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyra_ru_3P
koVyyuvavarigosAyravA koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyravA_ru_INTR
koVyyuvavarigosAyravU koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyravU_ru_INCL
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyravo_ru_DUB
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyravo_ru_INDF
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyravo_ru_PRES
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyrave_ru_IMPH
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyrave_ru_DECL
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosAyrave_ru_RIS
koVyyuvavarigosAyra koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyra_ru_3P
koVyyuvavarigosAyravA koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyravA_ru_INTR
koVyyuvavarigosAyravU koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyravU_ru_INCL
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyravo_ru_DUB
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyravo_ru_INDF
koVyyuvavarigosAyravo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyravo_ru_PRES
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyrave_ru_IMPH
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyrave_ru_DECL
koVyyuvavarigosAyrave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosAyrave_ru_RIS
koVyyuvavarigAyi koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyi_ru_3P
koVyyuvavarigAyiyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyA_ru_INTR
koVyyuvavarigAyiyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyU_ru_INCL
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_DUB
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_INDF
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_PRES
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_IMPH
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_DECL
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_RIS
koVyyuvavarigAyi koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigAyi_ru_3P
koVyyuvavarigAyiyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyA_ru_INTR
koVyyuvavarigAyiyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyU_ru_INCL
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_DUB
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_INDF
koVyyuvavarigAyiyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiyo_ru_PRES
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_IMPH
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_DECL
koVyyuvavarigAyiye koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigAyiye_ru_RIS
koVyyuvavarigosuga koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosuga_ru_3P
koVyyuvavarigosugavA koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
koVyyuvavarigosugavU koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
koVyyuvavarigosuga koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosuga_ru_3P
koVyyuvavarigosugavA koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
koVyyuvavarigosugavU koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
koVyyuvavarigosugavo koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
koVyyuvavarigosugave koVyyu(V13)+yuva_yu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
koVyyuvavarigiMwa koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
koVyyuvavarigiMwalA koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
koVyyuvavarigiMwalU koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
koVyyuvavarigiMwalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
koVyyuvavarigiMwalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
koVyyuvavarigiMwalo koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
koVyyuvavarigiMwale koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
koVyyuvavarigiMwale koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
koVyyuvavarigiMwale koVyyu(V13)+yuva_yu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
koVyyuvavaraMweV koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweV_ru_3P
koVyyuvavaraMweVyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
koVyyuvavaraMweVyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
koVyyuvavaraMweVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
koVyyuvavaraMweVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
koVyyuvavaraMweVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
koVyyuvavaraMweVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
koVyyuvavaraMweVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
koVyyuvavaraMweVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
koVyyuvavaroVdaneV koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
koVyyuvavaroVdaneVyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
koVyyuvavaroVdaneVyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
koVyyuvavaroVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
koVyyuvavaroVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
koVyyuvavaroVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
koVyyuvavaroVdaneVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
koVyyuvavaroVdaneVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
koVyyuvavaroVdaneVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
koVyyuvavaroVMxigeV  koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
koVyyuvavaroVMxigeVyA koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
koVyyuvavaroVMxigeVyU koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
koVyyuvavaroVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
koVyyuvavaroVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
koVyyuvavaroVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
koVyyuvavaroVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
koVyyuvavaroVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
koVyyuvavaroVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
koVyyuvuxannA koVyyu(V13)+yuvuxu_yu_ACC+xannA_xu_INTR
koVyyuvuxannU koVyyu(V13)+yuvuxu_yu_ACC+xannU_xu_INCL
koVyyuvuxanno koVyyu(V13)+yuvuxu_yu_ACC+xanno_xu_DUB
koVyyuvuxanno koVyyu(V13)+yuvuxu_yu_ACC+xanno_xu_INDF
koVyyuvuxanno koVyyu(V13)+yuvuxu_yu_ACC+xanno_xu_PRES
koVyyuvuxanne koVyyu(V13)+yuvuxu_yu_ACC+xanne_xu_IMPH
koVyyuvuxanne koVyyu(V13)+yuvuxu_yu_ACC+xanne_xu_DECL
koVyyuvuxanne koVyyu(V13)+yuvuxu_yu_ACC+xanne_xu_RIS
koVyyuvuxariMxalA koVyyu(V13)+yuvuxu_yu_INS+xariMxalA_xu_INTR
koVyyuvuxariMxalU koVyyu(V13)+yuvuxu_yu_INS+xariMxalU_xu_INCL
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_INS+xariMxalo_xu_DUB
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_INS+xariMxalo_xu_INDF
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_INS+xariMxalo_xu_PRES
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_INS+xariMxale_xu_IMPH
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_INS+xariMxale_xu_DECL
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_INS+xariMxale_xu_RIS
koVyyuvuxakkeVyA koVyyu(V13)+yuvuxu_yu_DAT+xakkeVyA_xu_INTR
koVyyuvuxakkeVyU koVyyu(V13)+yuvuxu_yu_DAT+xakkeVyU_xu_INCL
koVyyuvuxakkeVyo koVyyu(V13)+yuvuxu_yu_DAT+xakkeVyo_xu_DUB
koVyyuvuxakkeVyo koVyyu(V13)+yuvuxu_yu_DAT+xakkeVyo_xu_INDF
koVyyuvuxakkeVyo koVyyu(V13)+yuvuxu_yu_DAT+xakkeVyo_xu_PRES
koVyyuvuxakkeVye koVyyu(V13)+yuvuxu_yu_DAT+xakkeVye_xu_IMPH
koVyyuvuxakkeVye koVyyu(V13)+yuvuxu_yu_DAT+xakkeVye_xu_DECL
koVyyuvuxakkeVye koVyyu(V13)+yuvuxu_yu_DAT+xakkeVye_xu_RIS
koVyyuvuxariMxalA koVyyu(V13)+yuvuxu_yu_ABL+xariMxalA_xu_INTR
koVyyuvuxariMxalU koVyyu(V13)+yuvuxu_yu_ABL+xariMxalU_xu_INCL
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_ABL+xariMxalo_xu_DUB
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_ABL+xariMxalo_xu_INDF
koVyyuvuxariMxalo koVyyu(V13)+yuvuxu_yu_ABL+xariMxalo_xu_PRES
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_ABL+xariMxale_xu_IMPH
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_ABL+xariMxale_xu_DECL
koVyyuvuxariMxale koVyyu(V13)+yuvuxu_yu_ABL+xariMxale_xu_RIS
koVyyuvuxaralliyA koVyyu(V13)+yuvuxu_yu_LOC+xaralliyA_xu_INTR
koVyyuvuxaralliyU koVyyu(V13)+yuvuxu_yu_LOC+xaralliyU_xu_INCL
koVyyuvuxaralliyo koVyyu(V13)+yuvuxu_yu_LOC+xaralliyo_xu_DUB
koVyyuvuxaralliyo koVyyu(V13)+yuvuxu_yu_LOC+xaralliyo_xu_INDF
koVyyuvuxaralliyo koVyyu(V13)+yuvuxu_yu_LOC+xaralliyo_xu_PRES
