baMxanu baru(V16)+Mxa_ru_PAST+anu_a_3SM   
baruvavalYoVMxigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
baruvavalYoVMxigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
baruvavalYoVMxigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
baruvavarannu baru(V16)+ruva_ru_PRP+vavaru_va_ACC+rannu_ru_3P
baruvavarannA baru(V16)+ruva_ru_PRP+vavaru_va_ACC+rannA_ru_INTR
baruvavarannU baru(V16)+ruva_ru_PRP+vavaru_va_ACC+rannU_ru_INCL
baruvavaranno baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranno_ru_DUB
baruvavaranno baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranno_ru_INDF
baruvavaranno baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranno_ru_PRES
baruvavaranne baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranne_ru_IMPH
baruvavaranne baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranne_ru_DECL
baruvavaranne baru(V16)+ruva_ru_PRP+vavaru_va_ACC+ranne_ru_RIS
baruvavariMMxa baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxa_ru_3P
baruvavariMMxalA baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxalA_ru_INTR
baruvavariMMxalU baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxalU_ru_INCL
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxalo_ru_DUB
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxalo_ru_INDF
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxalo_ru_PRES
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxale_ru_IMPH
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxale_ru_DECL
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_INS+riMMxale_ru_RIS
baruvavarigeV baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeV_ru_3P
baruvavarigeVyA baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
baruvavarigeVyU baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
baruvavarigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
baruvavarigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
baruvavarigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
baruvavarigeVye baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
baruvavarigeVye baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVye_ru_DECL
baruvavarigeVye baru(V16)+ruva_ru_PRP+vavaru_va_DAT+rigeVye_ru_RIS
baruvavariMMxa  baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxa_ru_3P
baruvavariMMxalA baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxalA_ru_INTR
baruvavariMMxalU baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxalU_ru_INCL
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxalo_ru_DUB
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxalo_ru_INDF
baruvavariMMxalo baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxalo_ru_PRES
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxale_ru_IMPH
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxale_ru_DECL
baruvavariMMxale baru(V16)+ruva_ru_PRP+vavaru_va_ABL+riMMxale_ru_RIS
baruvavara baru(V16)+ruva_ru_PRP+vavaru_va_GEN+ra_ru_3P
baruvavaralli baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralli_ru_3P
baruvavaralliyA baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliyA_ru_INTR
baruvavaralliyU baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliyU_ru_INCL
baruvavaralliyo baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliyo_ru_DUB
baruvavaralliyo baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliyo_ru_INDF
baruvavaralliyo baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliyo_ru_PRES
baruvavaralliye baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliye_ru_IMPH
baruvavaralliye baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliye_ru_DECL
baruvavaralliye baru(V16)+ruva_ru_PRP+vavaru_va_LOC+ralliye_ru_RIS
baruvavarigoskara baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskara_ru_3P
baruvavarigoskaravA baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
baruvavarigoskaravU baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
baruvavarigoskara baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskara_ru_3P
baruvavarigoskaravA baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
baruvavarigoskaravU baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
baruvavarigoskaravo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
baruvavarigoskarave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
baruvavarigAgi baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgi_ru_3P
baruvavarigAgiyA baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
baruvavarigAgiyU baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
baruvavarigAgi baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigAgi_ru_3P
baruvavarigAgiyA baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
baruvavarigAgiyU baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
baruvavarigAgiyo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
baruvavarigAgiye baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
baruvavarigosuga baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosuga_ru_3P
baruvavarigosugavA baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
baruvavarigosugavU baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugave_ru_DECL
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_BEN+rigosugave_ru_RIS
baruvavarigosuga baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosuga_ru_3P
baruvavarigosugavA baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
baruvavarigosugavU baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
baruvavarigosugavo baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugave_ru_DECL
baruvavarigosugave baru(V16)+ruva_ru_PRP+vavaru_va_PUR+rigosugave_ru_RIS
baruvavarigiMwa baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwa_ru_3P
baruvavarigiMwalA baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
baruvavarigiMwalU baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
baruvavarigiMwalo baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
baruvavarigiMwalo baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
baruvavarigiMwalo baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
baruvavarigiMwale baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
baruvavarigiMwale baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
baruvavarigiMwale baru(V16)+ruva_ru_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
baruvavaraMweV baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweV_ru_3P
baruvavaraMweVyA baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
baruvavaraMweVyU baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
baruvavaraMweVyo baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
baruvavaraMweVyo baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
baruvavaraMweVyo baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
baruvavaraMweVye baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
baruvavaraMweVye baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVye_ru_DECL
baruvavaraMweVye baru(V16)+ruva_ru_PRP+vavaru_va_SIM+raMweVye_ru_RIS
baruvavaroVdaneV baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneV_ru_3P
baruvavaroVdaneVyA baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
baruvavaroVdaneVyU baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
baruvavaroVdaneVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
baruvavaroVdaneVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
baruvavaroVdaneVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
baruvavaroVdaneVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
baruvavaroVdaneVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
baruvavaroVdaneVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
baruvavaroVMxigeV  baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
baruvavaroVMxigeVyA baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
baruvavaroVMxigeVyU baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
baruvavaroVMxigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
baruvavaroVMxigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
baruvavaroVMxigeVyo baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
baruvavaroVMxigeVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
baruvavaroVMxigeVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
baruvavaroVMxigeVye baru(V16)+ruva_ru_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
baruvuMxannA baru(V16)+ruvuxu_ru_ACC+MxannA_xu_INTR
baruvuMxannU baru(V16)+ruvuxu_ru_ACC+MxannU_xu_INCL
baruvuMxanno baru(V16)+ruvuxu_ru_ACC+Mxanno_xu_DUB
baruvuMxanno baru(V16)+ruvuxu_ru_ACC+Mxanno_xu_INDF
baruvuMxanno baru(V16)+ruvuxu_ru_ACC+Mxanno_xu_PRES
baruvuMxanne baru(V16)+ruvuxu_ru_ACC+Mxanne_xu_IMPH
baruvuMxanne baru(V16)+ruvuxu_ru_ACC+Mxanne_xu_DECL
baruvuMxanne baru(V16)+ruvuxu_ru_ACC+Mxanne_xu_RIS
baruvuMxariMMxalA baru(V16)+ruvuxu_ru_INS+MxariMMxalA_xu_INTR
baruvuMxariMMxalU baru(V16)+ruvuxu_ru_INS+MxariMMxalU_xu_INCL
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_INS+MxariMMxalo_xu_DUB
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_INS+MxariMMxalo_xu_INDF
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_INS+MxariMMxalo_xu_PRES
baruvuMxariMMxale baru(V16)+ruvuxu_ru_INS+MxariMMxale_xu_IMPH
baruvuMxariMMxale baru(V16)+ruvuxu_ru_INS+MxariMMxale_xu_DECL
baruvuMxariMMxale baru(V16)+ruvuxu_ru_INS+MxariMMxale_xu_RIS
baruvuMxakkeVyA baru(V16)+ruvuxu_ru_DAT+MxakkeVyA_xu_INTR
baruvuMxakkeVyU baru(V16)+ruvuxu_ru_DAT+MxakkeVyU_xu_INCL
baruvuMxakkeVyo baru(V16)+ruvuxu_ru_DAT+MxakkeVyo_xu_DUB
baruvuMxakkeVyo baru(V16)+ruvuxu_ru_DAT+MxakkeVyo_xu_INDF
baruvuMxakkeVyo baru(V16)+ruvuxu_ru_DAT+MxakkeVyo_xu_PRES
baruvuMxakkeVye baru(V16)+ruvuxu_ru_DAT+MxakkeVye_xu_IMPH
baruvuMxakkeVye baru(V16)+ruvuxu_ru_DAT+MxakkeVye_xu_DECL
baruvuMxakkeVye baru(V16)+ruvuxu_ru_DAT+MxakkeVye_xu_RIS
baruvuMxariMMxalA baru(V16)+ruvuxu_ru_ABL+MxariMMxalA_xu_INTR
baruvuMxariMMxalU baru(V16)+ruvuxu_ru_ABL+MxariMMxalU_xu_INCL
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_ABL+MxariMMxalo_xu_DUB
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_ABL+MxariMMxalo_xu_INDF
baruvuMxariMMxalo baru(V16)+ruvuxu_ru_ABL+MxariMMxalo_xu_PRES
baruvuMxariMMxale baru(V16)+ruvuxu_ru_ABL+MxariMMxale_xu_IMPH
baruvuMxariMMxale baru(V16)+ruvuxu_ru_ABL+MxariMMxale_xu_DECL
baruvuMxariMMxale baru(V16)+ruvuxu_ru_ABL+MxariMMxale_xu_RIS
baruvuMxaralliyA baru(V16)+ruvuxu_ru_LOC+MxaralliyA_xu_INTR
baruvuMxaralliyU baru(V16)+ruvuxu_ru_LOC+MxaralliyU_xu_INCL
baruvuMxaralliyo baru(V16)+ruvuxu_ru_LOC+Mxaralliyo_xu_DUB
baruvuMxaralliyo baru(V16)+ruvuxu_ru_LOC+Mxaralliyo_xu_INDF
baruvuMxaralliyo baru(V16)+ruvuxu_ru_LOC+Mxaralliyo_xu_PRES
baruvuMxaralliye baru(V16)+ruvuxu_ru_LOC+Mxaralliye_xu_IMPH
baruvuMxaralliye baru(V16)+ruvuxu_ru_LOC+Mxaralliye_xu_DECL
baruvuMxaralliye baru(V16)+ruvuxu_ru_LOC+Mxaralliye_xu_RIS
baruvuMxakkoskaravA baru(V16)+ruvuxu_ru_BEN+MxakkoskaravA_xu_INTR
baruvuMxakkoskaravU baru(V16)+ruvuxu_ru_BEN+MxakkoskaravU_xu_INCL
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_BEN+Mxakkoskaravo_xu_DUB
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_BEN+Mxakkoskaravo_xu_INDF
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_BEN+Mxakkoskaravo_xu_PRES
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_BEN+Mxakkoskarave_xu_IMPH
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_BEN+Mxakkoskarave_xu_DECL
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_BEN+Mxakkoskarave_xu_RIS
baruvuMxakkoskaravA baru(V16)+ruvuxu_ru_PUR+MxakkoskaravA_xu_INTR
baruvuMxakkoskaravU baru(V16)+ruvuxu_ru_PUR+MxakkoskaravU_xu_INCL
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_PUR+Mxakkoskaravo_xu_DUB
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_PUR+Mxakkoskaravo_xu_INDF
baruvuMxakkoskaravo baru(V16)+ruvuxu_ru_PUR+Mxakkoskaravo_xu_PRES
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_PUR+Mxakkoskarave_xu_IMPH
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_PUR+Mxakkoskarave_xu_DECL
baruvuMxakkoskarave baru(V16)+ruvuxu_ru_PUR+Mxakkoskarave_xu_RIS
baruvuMxakkbariyA baru(V16)+ruvuxu_ru_BEN+MxakkbariyA_xu_INTR
baruvuMxakkbariyU baru(V16)+ruvuxu_ru_BEN+MxakkbariyU_xu_INCL
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_BEN+Mxakkbariyo_xu_DUB
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_BEN+Mxakkbariyo_xu_INDF
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_BEN+Mxakkbariyo_xu_PRES
baruvuMxakkbariye baru(V16)+ruvuxu_ru_BEN+Mxakkbariye_xu_IMPH
baruvuMxakkbariye baru(V16)+ruvuxu_ru_BEN+Mxakkbariye_xu_DECL
baruvuMxakkbariye baru(V16)+ruvuxu_ru_BEN+Mxakkbariye_xu_RIS
baruvuMxakkbariyA baru(V16)+ruvuxu_ru_PUR+MxakkbariyA_xu_INTR
baruvuMxakkbariyU baru(V16)+ruvuxu_ru_PUR+MxakkbariyU_xu_INCL
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_PUR+Mxakkbariyo_xu_DUB
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_PUR+Mxakkbariyo_xu_INDF
baruvuMxakkbariyo baru(V16)+ruvuxu_ru_PUR+Mxakkbariyo_xu_PRES
baruvuMxakkbariye baru(V16)+ruvuxu_ru_PUR+Mxakkbariye_xu_IMPH
baruvuMxakkbariye baru(V16)+ruvuxu_ru_PUR+Mxakkbariye_xu_DECL
baruvuMxakkbariye baru(V16)+ruvuxu_ru_PUR+Mxakkbariye_xu_RIS
baruvuMxakkosugavA baru(V16)+ruvuxu_ru_BEN+MxakkosugavA_xu_INTR
baruvuMxakkosugavU baru(V16)+ruvuxu_ru_BEN+MxakkosugavU_xu_INCL
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_BEN+Mxakkosugavo_xu_DUB
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_BEN+Mxakkosugavo_xu_INDF
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_BEN+Mxakkosugavo_xu_PRES
baruvuMxakkosugave baru(V16)+ruvuxu_ru_BEN+Mxakkosugave_xu_IMPH
baruvuMxakkosugave baru(V16)+ruvuxu_ru_BEN+Mxakkosugave_xu_DECL
baruvuMxakkosugave baru(V16)+ruvuxu_ru_BEN+Mxakkosugave_xu_RIS
baruvuMxakkosugavA baru(V16)+ruvuxu_ru_PUR+MxakkosugavA_xu_INTR
baruvuMxakkosugavU baru(V16)+ruvuxu_ru_PUR+MxakkosugavU_xu_INCL
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_PUR+Mxakkosugavo_xu_DUB
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_PUR+Mxakkosugavo_xu_INDF
baruvuMxakkosugavo baru(V16)+ruvuxu_ru_PUR+Mxakkosugavo_xu_PRES
baruvuMxakkosugave baru(V16)+ruvuxu_ru_PUR+Mxakkosugave_xu_IMPH
baruvuMxakkosugave baru(V16)+ruvuxu_ru_PUR+Mxakkosugave_xu_DECL
baruvuMxakkosugave baru(V16)+ruvuxu_ru_PUR+Mxakkosugave_xu_RIS
baruvuMxakkiMwalA baru(V16)+ruvuxu_ru_COMP+MxakkiMwalA_xu_INTR
baruvuMxakkiMwalU baru(V16)+ruvuxu_ru_COMP+MxakkiMwalU_xu_INCL
baruvuMxakkiMwalo baru(V16)+ruvuxu_ru_COMP+MxakkiMwalo_xu_DUB
baruvuMxakkiMwalo baru(V16)+ruvuxu_ru_COMP+MxakkiMwalo_xu_INDF
baruvuMxakkiMwalo baru(V16)+ruvuxu_ru_COMP+MxakkiMwalo_xu_PRES
baruvuMxakkiMwale baru(V16)+ruvuxu_ru_COMP+MxakkiMwale_xu_IMPH
baruvuMxakkiMwale baru(V16)+ruvuxu_ru_COMP+MxakkiMwale_xu_DECL
baruvuMxakkiMwale baru(V16)+ruvuxu_ru_COMP+MxakkiMwale_xu_RIS
baruvaMweVyA baru(V16)+ruva_ru_SIM+vaMweVyA_va_INTR
baruvaMweVyU baru(V16)+ruva_ru_SIM+vaMweVyU_va_INCL
baruvaMweVyo baru(V16)+ruva_ru_SIM+vaMweVyo_va_DUB
baruvaMweVyo baru(V16)+ruva_ru_SIM+vaMweVyo_va_INDF
baruvaMweVyo baru(V16)+ruva_ru_SIM+vaMweVyo_va_PRES
baruvaMweVye baru(V16)+ruva_ru_SIM+vaMweVye_va_IMPH
baruvaMweVye baru(V16)+ruva_ru_SIM+vaMweVye_va_DECL
baruvaMweVye baru(V16)+ruva_ru_SIM+vaMweVye_va_RIS
baruvuMxaroVMxigeVyA baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVyA_xu_INTR
baruvuMxaroVMxigeVyU baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVyU_xu_INCL
baruvuMxaroVMxigeVyo baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVyo_xu_DUB
baruvuMxaroVMxigeVyo baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVyo_xu_INDF
baruvuMxaroVMxigeVyo baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVyo_xu_PRES
baruvuMxaroVMxigeVye baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVye_xu_IMPH
baruvuMxaroVMxigeVye baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVye_xu_DECL
baruvuMxaroVMxigeVye baru(V16)+ruvuxu_ru_SOC+MxaroVMxigeVye_xu_RIS
baruvuMxaroVdaneVyA baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVyA_xu_INTR
baruvuMxaroVdaneVyU baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVyU_xu_INCL
baruvuMxaroVdaneVyo baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVyo_xu_DUB
baruvuMxaroVdaneVyo baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVyo_xu_INDF
baruvuMxaroVdaneVyo baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVyo_xu_PRES
baruvuMxaroVdaneVye baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVye_xu_IMPH
baruvuMxaroVdaneVye baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVye_xu_DECL
baruvuMxaroVdaneVye baru(V16)+ruvuxu_ru_SOC+MxaroVdaneVye_xu_RIS


baMxavanannu baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nannu_nu_3SM
baMxavanannA baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nannA_nu_INTR
baMxavanannU baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nannU_nu_INCL
baMxavananno baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanno_nu_DUB
baMxavananno baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanno_nu_INDF
baMxavananno baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanno_nu_PRES
baMxavananne baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanne_nu_IMPH
baMxavananne baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanne_nu_DECL
baMxavananne baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_ACC+nanne_nu_RIS
baMxavaniMMxa baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_INS+niMMxa_nu_3SM
baMxavaniMMxalA baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_INS+niMMxalA_nu_INTR
baMxavaniMMxalU baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_INS+niMMxalU_nu_INCL
baMxavaniMMxalo baru(V4)+Mxa_ru_PRP+Mxavanu_Mxa_INS+niMMxalo_nu_DUB
